YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.5972272	1.0051867	1.0080498	0.5365453	0.1104540	0.3112378	0.0843612	0.0181450	0.9211289	0.6895778	0.8394818	0.4261361	0.9360197	0.7650450	0.6748059	0.7474307	0.1411077	1.0539516	0.0012060	0.0092030	1.0033972	0.8551457	0.0992879	0.9317516	0.6971948	0.6641637	0.9966681	0.0026121	1.0902749	0.5533839	0.0195031	0.9464795	0.7916105	1.0508773	0.2997717	0.1960962	0.7591062	1.0837848	0.6422877	0.2939605	0.8144321	0.9377732	0.9136088	0.4794324	0.1232824	0.3143413	0.4714845	0.3892003	0.0443006	0.9174041
0.6305768	0.8842204	0.8956129	0.5994319	0.3671256	0.0092483	0.1207706	0.1085377	0.3073809	0.7551978	0.8916561	0.2335318	0.9803875	0.5078651	0.7421922	1.0291130	0.2045499	0.7622308	0.0031367	0.0557860	1.0423062	0.8756390	0.1962499	0.2645736	0.9119001	0.5580446	0.5143057	0.0286418	1.1068760	0.7785312	0.0236126	0.9029359	1.0868563	0.9941057	0.4390035	0.4120668	0.8289487	1.0380968	1.0296557	0.4478201	0.7949312	0.5745639	0.7244166	0.3972629	0.2647908	0.0459988	0.3903491	0.5433024	0.0004187	0.7932055
0.8030024	0.9407490	1.0420527	0.6070331	0.3239851	0.0015609	0.0548263	0.0004628	1.0892077	0.9654043	0.9997294	0.3269119	1.0129402	0.4448028	0.7723957	1.0220731	0.8176704	0.8391478	0.0018847	0.1139461	1.0473369	0.8942282	0.1906451	0.3641559	0.5059725	0.4054662	0.7686001	0.0491762	0.9844167	0.7011340	0.0446454	1.0499817	0.9584971	1.0082748	0.4499613	0.3364102	0.9202351	0.9955242	0.5979363	0.3724959	0.5288221	0.9170538	0.8689261	0.4255320	0.5615183	0.0831586	0.6386722	0.2963817	0.0101223	0.8601583
0.3694465	1.0027365	0.8187101	0.3774648	0.2894615	0.0710674	0.0533796	0.0174127	0.9978045	1.0491945	0.4330625	1.0119199	0.7776670	0.4341319	0.8663678	1.0178420	0.7523518	0.9800106	0.0095009	0.4250578	0.8342634	0.3436072	0.2085529	0.0038462	0.9097171	0.5719072	0.8717577	0.0504364	1.0187201	0.7820028	0.0083883	0.8608320	0.9478186	1.0524911	0.3045975	0.4001349	0.5593147	0.9626101	1.0321937	0.4601391	0.9814010	0.7894824	0.9847960	0.4623468	0.3405200	0.1471103	0.1078779	0.6493012	0.1060397	0.9894781
0.7544603	0.8483775	0.8838512	0.4462964	0.4649727	0.1071704	0.1562351	0.6155571	0.0544984	0.8132988	0.6767062	0.4136872	0.9991120	0.5991073	0.7600464	0.9973850	0.7524553	0.8342698	0.0118731	0.5451663	0.8713037	0.7878645	0.2205105	0.5769759	0.9627673	0.7067021	1.0647723	0.0020648	0.8694186	0.8178396	0.0197293	0.5572356	0.6786704	1.1215033	0.4643914	0.3621618	0.9300265	1.0653813	1.0586389	0.4877859	0.6737996	0.0440633	0.6324302	0.4519676	0.7286880	0.7580073	0.0559344	0.2847139	0.0034293	0.6565088
0.7429232	0.6210935	0.8208536	0.5771374	0.4181519	0.0012222	0.0245439	0.0019214	0.9547147	1.0370277	0.8098056	0.6186719	0.7019559	0.7859467	0.7471927	0.7707287	0.5404326	1.0831396	0.0021879	0.2096626	0.9799769	0.5982527	0.2666857	0.2975772	0.6403595	0.5902327	0.9597286	0.0485840	0.9027658	0.8112887	0.0321961	0.8752457	0.7823369	0.8304492	0.3130140	0.2016349	0.9816309	0.6500448	0.9645882	0.5116768	0.4931188	0.9725332	0.7641038	0.2788867	0.7011442	0.0206497	0.1213656	0.3083732	0.0480548	0.8141942
0.4236843	0.8980344	0.6392983	0.3061665	0.1728251	0.6405046	0.1996275	0.0407742	0.9149230	0.3543314	0.9986485	0.5749287	0.9962182	0.6381591	0.5090055	1.0021868	0.3933337	0.9578676	0.0084703	0.4935765	0.9543561	0.9832415	0.0901444	0.3145107	0.7894989	0.5480474	1.0058280	0.0567394	1.0573023	0.6904307	0.0492713	0.9154310	1.0007052	0.9501490	0.4000178	0.3050617	1.0050184	0.8972085	0.8222954	0.3326879	0.4976687	1.0958561	0.9749425	0.3455799	0.2389848	0.7489436	0.0562874	0.3158312	0.0196687	0.6811966
0.5048658	1.0668806	0.9379753	0.4216960	0.4964906	0.0024682	0.0910452	0.0571281	0.6683338	0.9620378	0.9495098	0.6757853	0.6840251	0.4441597	0.8411727	1.0556786	0.5762945	0.9931000	0.0038433	0.1292075	1.0182658	0.6770011	0.2278589	0.1582274	1.0035688	0.6965604	0.9803608	0.0000021	0.9663002	0.7829347	0.0345703	1.0148340	0.9073123	1.0825056	0.2476939	0.2355154	1.0142242	1.0073168	1.0685842	0.4543886	0.6777747	0.9324434	0.8665635	0.0037036	0.6362085	0.0388951	0.1675956	0.6843475	0.1253607	0.8300867
0.4617455	1.0164174	0.5103632	0.3867156	0.8551048	0.2436784	0.3807716	0.1043943	0.2594517	0.7347364	0.3516010	0.9367941	0.8119587	0.7014991	0.7258684	0.9594510	0.3777410	0.9636005	0.0149206	0.2200771	1.0637661	0.5046342	0.3847259	0.2796675	0.7847868	0.5632352	0.9829357	0.0000204	1.0364651	0.8761899	0.0005008	0.9307738	1.0221256	0.9079031	0.3569146	0.2976462	0.9468629	0.9820469	0.7113163	0.4756559	0.2936314	0.6181679	0.9607571	0.1938798	0.4966912	0.0100395	0.1251900	0.2819273	0.2126201	0.8687314
0.3933726	1.0137189	0.8284358	0.4146965	0.3658423	0.0008319	0.0654881	0.0029668	1.0220138	1.0582521	0.7591401	0.7254310	0.4334260	0.4239007	0.7742506	1.0156570	0.6086492	1.0121246	0.0045214	0.2162068	0.7484432	0.7605026	0.2725141	0.0007052	0.9460292	0.5939989	0.6913741	0.0259117	1.0675353	0.7358174	0.0233245	0.9645334	1.0859489	1.0093643	0.3744105	0.4207246	0.9925985	1.0813852	0.9209247	0.5871901	0.6450504	0.9012013	1.0169141	0.4830060	0.1893138	0.4563943	0.4303509	0.0845508	0.1055583	0.9566922
