"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.6886866	1.0301340	1.0029335	0.5950916	0.3919307	0.0379876	0.0968950	0.0529445	0.7826624	1.0348443	0.9731699	0.4797745	0.9975293	0.6201121	0.8407541	0.9726307	0.6283807	1.0465966	0.0015981	0.3806657	1.0227693	0.7873163	0.2366580	0.1528101	0.8262958	0.5458654	1.0216703	0.0353870	1.0534556	0.7962065	0.0217789	0.9195820	0.9359675	1.0246534	0.3407771	0.2263916	1.0152856	1.0220145	1.0157808	0.4826177	0.7037995	0.8887499	0.6985562	0.5036624	0.3471984	0.1896157	0.1002525	0.2462193	0.0097665	1.0451864
100	0.6394249	0.9928452	0.9414036	0.5202668	0.3460513	0.0568479	0.0588904	0.0360449	1.0368004	0.8978019	1.0507057	0.5018082	1.0138604	0.6782583	0.8020894	0.9621195	0.5583090	1.0165306	0.0067164	0.3245366	0.9977858	0.8352185	0.0586683	0.1973975	0.9941706	0.9079694	1.0601771	0.0087371	1.1121692	0.5873900	0.0540333	0.8998135	0.9257175	0.7670276	0.2359222	0.1883035	1.0963424	0.6012127	0.9755247	0.9451675	0.8136284	0.6510325	0.6913652	0.1273124	0.4400539	0.6821191	0.0710020	0.1681724	0.4057730	0.8890003
200	0.7291535	1.0228390	0.8977416	0.4193283	0.3301538	0.0559311	0.1011212	0.0367536	0.7348435	0.9239235	1.0369958	0.4860290	1.0339980	0.6123536	0.7329172	1.0553676	0.5915521	1.1012645	0.0025941	0.3170027	0.9838734	0.9831730	0.0354440	0.3922428	1.0778495	0.9052871	1.0311728	0.0004578	1.0341114	0.4432317	0.0446459	0.9043899	0.9147719	0.6486078	0.1517816	0.0986907	0.9815713	0.4579491	0.9488410	0.9396047	0.9149144	0.4391784	0.7674752	0.3015277	0.5143879	0.8426089	0.0742758	0.2766516	0.4170534	0.6208475
300	0.6553568	1.0495456	1.1198255	0.6162300	0.3387151	0.0377517	0.0857210	0.0312654	0.8059486	0.9244650	1.1764434	0.4597581	0.9672182	0.5676256	0.8550894	1.0290607	0.5408678	0.9792627	0.0022633	0.2505616	1.0400213	1.0047187	0.0069925	0.3906724	1.0410444	1.0321927	0.9696136	0.0040188	0.9592910	0.5227067	0.0843676	0.8587604	0.9596892	0.5463567	0.1518510	0.0732127	1.0742334	0.5694523	1.0011927	0.9108579	0.8762348	0.4035790	0.7871086	0.4078593	0.4437542	0.8037695	0.0505932	0.2700169	0.4767846	0.6646646
400	0.7909866	1.0350114	0.9788189	0.6031671	0.2424771	0.0338188	0.0877885	0.0587018	0.8910181	1.0646513	0.9952355	0.4368979	0.9699297	0.6010436	0.8161310	0.9719308	0.6159542	0.9550179	0.0093602	0.2738714	0.9452899	0.9183263	0.0046038	0.3796988	0.8601641	0.9951397	0.9148008	0.0004998	1.0132621	0.4309124	0.0265681	0.8985201	1.0310828	0.6329288	0.1885006	0.0890846	1.0575372	0.4936161	1.0079942	0.9171067	0.9334292	0.4457976	0.7406751	0.3480549	0.4769538	0.8014352	0.0425514	0.2445549	0.5161458	0.5510833
500	0.7463893	0.9325401	0.9255671	0.5272687	0.3469807	0.0410821	0.1217308	0.0327296	0.7885305	0.9643199	0.9042663	0.5317515	1.1117310	0.5128930	0.9398989	0.9916393	0.5795881	0.9319091	0.0023639	0.2524367	0.9296779	1.0246851	0.0017743	0.4317273	0.9326388	0.9081682	0.9427684	0.0000184	0.9624993	0.4308104	0.0467379	1.0169148	0.9905626	0.5952695	0.1420392	0.0925982	0.9846070	0.4237138	1.0030140	0.8996193	0.9399239	0.4339468	0.7740043	0.3945054	0.5215416	0.9763492	0.0668991	0.2246935	0.5818756	0.5023927
600	0.7192301	1.0060203	0.9461599	0.5586715	0.3536091	0.0243527	0.1112192	0.0340927	0.8118165	0.9899724	0.9518257	0.5413933	1.0559972	0.6115498	0.9245989	0.9284240	0.6023760	1.0252790	0.0035086	0.2886472	0.9405635	0.9067234	0.1514365	0.3068490	0.9923329	0.5804757	1.0044194	0.0602458	0.9952085	0.6034235	0.0399379	0.9227617	1.0966354	0.8973062	0.2313610	0.0690329	1.1006911	0.8411949	1.0085290	0.2460746	0.7900497	0.7370669	0.8013119	0.7665824	0.3523534	0.5580194	0.1253306	0.2265991	0.1147172	0.7739746
700	0.7400006	0.9653603	1.0058523	0.5105926	0.3485193	0.0585144	0.0779621	0.0290205	0.7445144	1.1053832	0.9447889	0.4385831	0.9623478	0.6314092	0.8606608	0.9385172	0.4827546	0.9815105	0.0014808	0.3298886	0.9714331	0.8327272	0.2073479	0.1536822	1.0784436	0.6451685	1.0189730	0.0247313	0.9313165	0.8716168	0.0317585	0.9147350	1.0691632	1.0503630	0.3363263	0.1367516	1.0215878	0.9324822	0.9784892	0.5187633	0.6662761	0.8551228	0.8179304	0.5429301	0.2818907	0.2762292	0.1192907	0.2470003	0.0408337	0.8789611
800	0.6977516	1.0207147	0.9618043	0.5747388	0.3557104	0.0202874	0.0539977	0.0176984	0.9131500	1.0589532	0.9352076	0.4698998	0.9274293	0.6111392	0.8943525	0.8969465	0.5087203	0.9933182	0.0082359	0.3887888	0.8830763	0.8333820	0.2455661	0.1335521	1.1198962	0.5963872	0.9695626	0.0383222	1.0223317	0.8462434	0.0343287	0.9168157	0.9872249	1.0427615	0.2776221	0.2186495	1.0848974	1.1031783	0.9298599	0.5589375	0.7060624	0.8084413	0.6873588	0.4453021	0.3499818	0.1806106	0.1268823	0.1937547	0.0159082	0.9457077
