YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.7184423	1.0249037	1.0519216	0.5910827	0.3395122	0.0287065	0.0917045	0.0475733	0.8698144	0.9564084	1.0933236	0.4534538	1.0831593	0.6164455	0.4029247	1.0422948	0.5289206	1.0161089	0.0202632	0.3952008	0.9783602	0.7119855	0.2475356	0.3113947	0.9677308	0.5936752	1.0202983	0.0342958	0.9210101	0.7990356	0.4053149	0.1018011	0.0000000	1.0126379	0.8121432	0.7663616	0.0000000	1.0735190	0.9229150	0.4778929	0.9095615	0.2618473	0.0781773	0.4243225	0.4346066	0.2133667	0.1142115	0.1745092	0.0316035	0.9916762
0.6667632	1.0272717	0.9683075	0.4276074	0.3582905	0.0372696	0.0709318	0.0242173	0.8904001	0.9153783	0.9731467	0.5342569	1.0276873	0.5634735	0.8013494	1.1337810	0.5057769	0.9843318	0.0011700	0.5030779	1.0815265	0.6868013	0.3480554	0.0021412	1.0672394	0.5651300	0.9823643	0.0326623	1.0099499	0.0000000	0.0209053	1.0138346	0.9253539	1.0882607	0.3830085	0.2629757	1.0442452	0.9841662	1.0217756	0.0000000	0.0726914	1.1299268	0.8186396	1.0237860	0.2085264	0.6069536	0.1115255	0.2258636	0.2930560	0.9253689
0.7086215	0.9864500	0.9654582	0.6184772	0.2765459	0.0420051	0.1121545	0.0525409	0.9903001	0.9244474	1.1031876	0.4642184	0.9580041	0.6238621	0.8425731	1.0240227	0.5525653	1.0134768	0.0065132	0.5192260	1.0582546	0.7245732	0.2234957	1.0370054	0.9756065	0.6026718	1.0410799	0.0277008	0.9382267	0.0000000	0.4111873	1.0234667	0.9683275	1.0480789	0.3271650	0.2332634	0.0000000	1.0815633	1.0542210	0.0630128	0.0483938	0.9621317	0.2486534	1.0377473	0.2438138	0.5879151	0.1107342	0.2664694	0.0163926	1.0127176
0.6766798	0.9142071	1.0725814	0.6783840	0.2515054	0.0483188	0.0858710	0.0480621	0.8928965	1.1263638	0.9790260	0.5768623	0.9554468	0.6256352	0.9175606	1.1153921	0.5231098	0.9747173	0.0045932	0.2977745	0.9919249	0.8281428	0.2312268	0.0019225	1.0237127	0.5965739	1.1277545	0.0428669	0.9295826	0.0000000	0.0725957	0.9510983	0.0000000	0.9282434	0.2855982	0.2239231	1.1027516	1.1078870	1.1121965	0.0445539	0.4427914	0.9419187	0.7884124	1.0768389	0.2104727	0.6377938	0.1160117	0.2406361	0.7717850	0.9229083
0.6739403	1.0131434	0.9454511	0.5626715	0.4128487	0.0543192	0.1154199	0.0457423	0.8291546	1.0497792	0.9935207	0.5945540	0.9825265	0.6168431	0.8589116	1.0402696	0.5802923	0.9317353	0.0044785	0.4171516	0.9024342	0.7232121	0.2374048	1.0189559	0.9674848	0.6104531	0.9623133	0.0440877	1.0931920	0.0000000	0.4807229	1.0779579	1.0627283	0.0000000	0.3228597	0.2343024	0.9316771	1.0368753	0.9805990	0.0513738	0.4882960	0.9665081	0.9932123	1.0469103	0.2714818	0.5821024	0.1245551	0.1673948	0.3056361	0.9026958
0.6302941	1.0375599	0.9091129	0.5598504	0.3405870	0.0381469	0.1129525	0.0368379	0.7283988	1.0883523	1.0177397	0.5379043	1.0395577	0.6320874	0.8060767	1.1006828	0.5778849	1.0333358	0.0046392	0.2810670	0.0034775	1.0038857	0.2786263	0.3943600	0.7928541	0.6235514	0.9681008	0.0267622	1.0856770	0.0000000	0.0336748	0.9105701	1.0240203	1.0198098	0.2728137	0.1866143	0.9526648	1.0866122	1.0352117	0.0639155	0.0576939	1.0457439	0.8593533	1.0345027	0.6031214	1.0071680	0.1062682	0.0038943	0.5447999	0.8170355
0.7101685	1.0344271	1.0398439	0.6970814	0.2761711	0.0535601	0.0832076	0.0468426	0.8672903	1.0388976	1.0131563	0.5106726	1.0830231	0.5832024	0.6462350	1.0504422	0.4905677	1.0356451	0.0012317	0.3785283	1.0769599	0.7302573	0.2815655	0.2279335	0.8621475	0.5624222	1.0699876	0.0395007	0.9786112	0.9627679	0.2370442	0.5351638	1.0346383	1.0405212	0.5260870	0.5881486	0.0000000	0.9775415	0.9894304	0.0000000	0.4708472	0.3951758	0.3252569	0.4287098	0.1660529	0.1812385	0.1176943	0.2676191	0.0092535	0.8996514
0.7805839	1.0431005	0.9923503	0.5877765	0.3006898	0.0515571	0.0975609	0.0605177	0.7721225	0.9768207	0.9461463	0.5190746	1.0889009	0.6009062	0.8467046	0.9046565	0.4737881	1.0328974	0.0071489	0.3424039	1.0412710	0.8683606	0.2404197	0.4010491	1.1084639	0.5592374	1.0399009	0.0508492	1.0568902	0.8287805	0.9758360	1.0432117	1.1029600	0.0000000	0.3138475	0.2373921	0.0000000	1.0694040	1.0086811	0.4797643	0.9237166	0.8993083	0.3671200	0.4940000	0.4399327	0.2157083	0.1273797	0.2098819	0.0133034	0.8684072
0.6776356	1.0547548	1.0396236	0.6439142	0.3368848	0.0315370	0.0912824	0.0500898	0.7795520	1.1279330	0.9575239	0.5092491	1.0127790	0.5135779	0.7240611	1.0061982	0.5202970	1.0703638	0.0093751	0.4388343	0.9670404	0.6498073	0.3493460	0.0022066	0.9375134	0.6145020	1.0396729	0.0321160	1.0376387	1.0428014	0.0430571	0.5124951	0.0000000	0.8857914	0.4466097	0.5722214	1.1205553	0.9446801	0.9446821	0.0000000	0.9892694	0.9312777	0.7703702	0.4985233	0.1684630	0.1502345	0.1044623	0.2337527	0.3798660	0.8852773
0.7763709	0.9517524	0.8968857	0.6092453	0.3273747	0.0350078	0.1186123	0.0566319	0.8207466	1.0528768	0.9667273	0.5320581	0.9849965	0.5206650	0.7950101	1.0200585	0.4979632	1.0838770	0.0107259	0.3485398	0.9613063	0.7530329	0.2827428	0.1264863	1.1292742	0.5540182	0.9357542	0.0367157	0.9868490	0.8440800	0.4945346	0.9342061	0.0000000	0.0000000	0.3526017	0.2617578	1.0223394	0.9367921	1.0346899	0.4102563	0.8864436	1.0698423	0.8817389	0.4017959	0.3571606	0.2302600	0.1199435	0.2696550	0.0383173	0.9532728
