YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.3059740	1.0991059	0.9434667	0.5276552	0.3538289	0.0490200	0.1117655	0.0576402	0.6834138	1.0043370	0.9584880	0.5221594	1.0647199	0.6164750	0.8597191	0.9879312	0.5589935	1.0016410	0.0066608	0.3633897	0.9701406	0.8419154	0.1946719	0.1953894	0.9716954	0.5109033	1.0425298	0.0366728	1.0885182	0.8681341	0.0490721	0.9345768	0.9693560	1.0082891	0.3734971	0.2278178	1.0345024	1.0315798	1.0509604	0.4933321	0.7022869	0.7659172	0.6820146	0.3795150	0.3494734	0.2099139	0.1320065	0.2963204	0.0119278	0.9335727
0.8805977	0.5256298	1.0216752	0.6438513	0.2989892	0.0578196	0.0796946	0.0802120	0.8662886	1.0176449	1.0253502	0.5736630	0.9813314	0.5919237	0.9273820	1.0646101	0.5137069	1.0143198	0.0040316	0.4242195	1.0090451	0.8394731	0.2297872	0.0825368	1.1450347	0.6964548	0.9886479	0.0549271	1.0990343	0.8286452	0.0356162	0.9628394	1.0411984	1.0966442	0.2994672	0.2139374	0.9919250	0.9764466	1.0523270	0.5321970	0.6561546	0.9432931	0.6832750	0.4309869	0.3906867	0.2377809	0.1604191	0.2027468	0.0152455	0.8162482
0.4848347	0.9856334	0.5114746	0.2213413	0.9291890	0.1193505	0.4996031	0.1959883	0.1209379	0.9812350	0.8518468	0.5548688	1.0829318	0.5870765	0.8455523	1.1166198	0.6657941	1.0884547	0.0152259	0.5774724	1.0358754	0.4919943	0.5581373	0.1175641	1.1679361	0.6590814	0.9001050	0.0369668	0.9684725	0.8809934	0.0322993	0.8868168	0.9488821	1.0213336	0.2851699	0.2533389	1.0031079	0.9230227	0.9066683	0.4959685	0.7877791	0.4570893	0.7019567	0.4402035	0.3634999	0.1288397	0.1214543	0.2669076	0.0041824	0.9598003
0.6570423	1.0609312	0.9693048	0.3089227	0.3597042	0.0366159	0.1081887	0.0604260	0.8755721	1.0544785	1.0102146	0.4827249	1.0198430	0.5266051	0.9649041	1.1617927	0.6144788	0.9940497	0.0084273	0.3636551	1.0154999	0.7666412	0.2415957	0.1099653	0.9589018	0.6011484	0.8939056	0.0347661	1.0257959	0.7548320	0.0622544	1.0033849	0.9654064	0.9502073	0.3411695	0.1704695	1.0059582	0.9778047	1.0330723	0.4742663	0.7641673	0.8271051	0.6358519	0.5303020	0.3538659	0.2672723	0.1440160	0.2656001	0.0123447	0.8819869
0.7886037	0.9940365	1.0072017	0.6217879	0.1745389	0.0390948	0.0771633	0.0340656	0.9843538	0.9951324	0.9552831	0.4520501	0.9711610	0.5921114	0.9566522	1.0055879	0.5051343	1.0207406	0.0036978	0.3713456	1.0066299	0.6997342	0.2688122	0.1426930	1.0631508	0.6596359	1.0074210	0.0271630	1.0614913	0.7923450	0.0404887	1.0133409	0.9805335	1.0353943	0.2274623	0.2108960	0.9748324	1.0211773	1.0202476	0.6199915	0.6125164	0.8194374	0.7492885	0.5977566	0.3956567	0.1624397	0.1088022	0.2689294	0.0084049	0.9540348
0.7254292	1.0340796	1.0120434	0.6154939	0.2816590	0.0287920	0.0671531	0.0483411	0.8902353	1.1078958	1.0192624	0.4774174	0.9402577	0.6001534	0.8909904	1.0037410	0.5213113	0.8882615	0.0071086	0.3286930	0.9440309	0.7455060	0.1814376	0.0772731	1.1342292	0.6497562	1.0522170	0.0410139	1.0662620	0.9138097	0.0339047	0.9029609	0.9699826	1.1071167	0.2652608	0.2301783	1.0804351	0.9243227	1.0218154	0.5972371	0.7660267	0.7757967	0.6366684	0.4401710	0.3636768	0.2066896	0.1696224	0.1996615	0.0054542	0.9695606
0.7511057	0.9762619	0.9143835	0.4926943	0.3270627	0.0359304	0.0799569	0.0334352	0.9567735	0.9123498	0.9615525	0.4507324	1.0597024	0.6318826	0.8683689	1.0188563	0.5711025	1.0955889	0.0104350	0.3105381	1.0477354	0.7751471	0.2296608	0.0980285	1.0481065	0.7049219	1.0216604	0.0492885	1.1205836	0.7877465	0.0342239	1.0478446	1.0152095	1.0869075	0.2904708	0.2361138	0.9316433	1.0978065	1.0333465	0.5090616	0.7127190	0.8794544	0.6259230	0.5413534	0.3279396	0.1750269	0.1208931	0.2695414	0.0058873	0.9552706
0.6529175	0.9635136	0.8933271	0.5316796	0.4821330	0.0420274	0.1197305	0.0240406	0.8782548	1.0299981	0.9293806	0.4782692	0.9495722	0.6414457	0.8130588	0.9148707	0.6371558	0.8554314	0.0088023	0.3847897	1.0933458	0.7555884	0.2646486	0.0748035	1.0620490	0.6634842	1.0386802	0.0660724	1.0760465	0.7322224	0.0820202	0.9064229	0.9564449	0.9337054	0.3198111	0.1950775	1.0012130	0.9839693	1.1449257	0.5276702	0.5944404	0.8526975	0.6002242	0.4726931	0.4058509	0.2084979	0.1600872	0.2490019	0.0091928	0.8655352
0.7243566	1.0791778	1.0293805	0.5482154	0.2935411	0.0433297	0.0806815	0.0306396	0.4422907	1.0357622	1.0657076	0.5269226	0.9902330	0.6411184	0.8143383	0.9998641	0.4662097	0.8772126	0.0146985	0.4332335	1.0966487	0.7724863	0.2537598	0.1143436	1.0059551	0.5675413	0.9793412	0.0432261	0.9642783	0.8466689	0.0545166	0.9794669	0.9947688	0.9732619	0.3588640	0.3123301	0.9828542	0.9373883	1.0275634	0.4667525	0.6752380	0.8378382	0.6971044	0.4428763	0.3364382	0.2049611	0.1752782	0.2489197	0.0108192	0.8859727
0.6379146	1.0558175	0.9992324	0.5290307	0.3263972	0.0289302	0.0741154	0.0287823	1.0525987	0.4790841	0.9797859	0.4884674	1.0505575	0.5858140	0.8541001	1.0253448	0.6301129	0.9653554	0.0128648	0.3773387	0.9950430	0.7488266	0.2359883	0.1849810	0.9366200	0.6637613	0.9952916	0.0416772	1.0348029	0.8351321	0.0370188	0.9574113	1.0653090	0.9549418	0.3600984	0.2439692	1.0294277	0.9889936	1.0936045	0.4227921	0.6434694	0.9099580	0.7079930	0.4510155	0.3125891	0.1962246	0.1464178	0.3097845	0.0120261	0.9025871
0.6721660	1.0776210	1.1021909	0.6619949	0.2596522	0.0405332	0.0773467	0.0467077	0.7863312	1.1433242	0.4738666	1.0648679	0.9623365	0.5738291	0.7345935	0.9826696	0.5474635	1.0204148	0.0032569	0.4233762	1.0232191	0.7317476	0.2671268	0.1722433	0.9600504	0.5825551	1.0686939	0.0473511	1.0135018	0.7351773	0.0414177	0.9309280	0.9423702	0.9609590	0.3916783	0.2643945	1.0708021	1.0234475	1.1114348	0.4922995	0.6715950	0.7986167	0.7026673	0.4559691	0.4381592	0.1713747	0.1381627	0.2842017	0.0133422	0.8369627
0.6432897	1.0032347	1.0374143	0.7011527	0.2722765	0.0250273	0.0701101	0.0486302	0.7551032	0.9451148	0.9608141	0.2612414	0.9411721	0.6000759	0.8653320	0.9426382	0.4993959	0.9453717	0.0222309	0.3690054	1.0122113	0.6921521	0.2902081	0.1063815	1.0224134	0.6812269	1.1949097	0.0501403	1.1203774	0.8262913	0.0276886	0.9545859	1.0015676	1.0293442	0.3011031	0.2768419	1.0219248	1.1129211	1.1306673	0.4204816	0.6971629	0.9474558	0.6143010	0.4159400	0.3590502	0.1690902	0.1445544	0.2689351	0.0191800	0.8356128
0.6708474	1.0194188	0.9783001	0.4967416	0.3128172	0.0690638	0.0913233	0.0398920	0.7773241	0.9466564	1.0374476	0.4811667	0.4542679	0.4647509	0.9261604	0.9837767	0.5434744	0.9386200	0.0032561	0.3767369	1.0043848	0.8068503	0.2892287	0.0882531	0.9945212	0.6394892	1.0497622	0.0449923	1.0024182	0.7887277	0.0577926	0.9195493	0.9369971	1.0296805	0.3471568	0.2189145	1.1383219	1.0647249	1.0515905	0.4903461	0.6471453	0.8817580	0.8008165	0.4160434	0.4219280	0.1536002	0.3019254	0.2666653	0.0092592	1.0178045
0.6951382	1.0502357	1.0144865	0.6791796	0.3352300	0.0352028	0.1141893	0.0586653	0.8650505	1.0182103	1.0928205	0.4613222	1.0165501	0.3027416	0.9403316	0.8964247	0.5915035	1.0178482	0.0077354	0.3336816	0.9380216	0.7022751	0.2743090	0.1176216	1.0696568	0.5957749	1.0177398	0.0449015	0.9653003	0.8039267	0.0166797	0.9178882	1.0108923	1.1304372	0.3913269	0.2624543	0.9534810	1.0222036	1.0440375	0.4968691	0.6729680	0.8906820	0.7316360	0.4669360	0.3537049	0.2137631	0.1296067	0.2300518	0.0079919	1.0223149
0.7359705	0.9728288	1.0085235	0.5675391	0.3546081	0.0413597	0.0939803	0.0266699	0.9690975	1.0890820	0.9893116	0.5176697	1.0386358	0.6024926	0.4112335	0.9214098	0.5218010	1.0771155	0.0056970	0.3689952	0.9283316	0.7291845	0.2548843	0.1650179	1.0195092	0.6295394	1.0725665	0.0488901	1.0914833	0.7162194	0.0446715	0.9637869	0.9915134	1.0375265	0.2710407	0.2207050	1.0313029	1.1311650	1.0155068	0.5317782	0.6673294	0.8819995	0.6862328	0.4780927	0.4390644	0.2005329	0.1125867	0.2268283	0.0163299	0.8979145
0.7997185	1.0348206	0.9760504	0.5866980	0.3412008	0.0438344	0.1151405	0.0386794	0.7054004	1.1233974	0.9454294	0.5313549	1.0330478	0.7176539	0.7405461	0.4732135	0.4512349	0.9354294	0.0116136	0.4212597	0.9216550	0.7310179	0.2368182	0.1391895	1.0021483	0.6003008	1.0138017	0.0415913	1.0512388	0.7679199	0.0323691	0.9513545	1.0330710	1.0800196	0.4379899	0.3663069	1.0988778	1.0098638	0.9225442	0.5553641	0.7113412	0.9186142	0.7126515	0.4897091	0.3322374	0.1954981	0.1477112	0.1547472	0.0053117	0.9247079
0.7032211	0.9846525	0.9730109	0.5888382	0.3095849	0.0579000	0.1357138	0.0469586	0.8805207	0.8982549	0.9126997	0.5245222	1.0351882	0.5836978	0.9044235	1.0256396	0.2482210	1.0541258	0.0093271	0.3681647	1.0793955	0.8052051	0.1777928	0.2325965	1.1134218	0.5728726	1.0638910	0.0271920	1.0136817	0.7639452	0.0474975	0.8855708	0.9558332	0.9343723	0.3104253	0.1856679	0.9235661	1.0077344	1.0484121	0.4635606	0.7008937	0.8325144	0.6847156	0.4832865	0.3748594	0.1683886	0.1506389	0.2062282	0.0155702	0.8991446
0.6706742	0.9188220	0.9155388	0.5777282	0.3046571	0.0551262	0.1138316	0.0387717	0.8421741	1.0340836	1.0770155	0.5326280	1.0604466	0.5560758	0.8745705	1.0371293	0.4740134	0.5419124	0.0167079	0.3048498	1.0202057	0.7245841	0.2631552	0.0978166	1.0190316	0.5527454	0.9487678	0.0543770	0.9520305	0.7812062	0.0463815	0.8882118	0.9852940	1.0109286	0.3636799	0.2896476	0.8659332	1.0069461	0.9980665	0.5162063	0.7605864	0.8550728	0.6012127	0.4263254	0.3811246	0.2253405	0.1590499	0.3126613	0.0129552	0.9291797
0.6881894	1.0682921	0.9733309	0.5297321	0.3459788	0.0455155	0.1026377	0.0417859	0.8307497	0.9812794	0.9621069	0.5144917	0.9244565	0.6006474	0.8710488	0.9987216	0.5272321	1.0709475	0.0026175	0.3731317	0.9972925	0.7509306	0.1987826	0.1117879	1.0385295	0.6076254	0.9632649	0.0359288	0.9859161	0.7868551	0.0405656	0.9282388	0.9361077	1.0668308	0.2977252	0.2387937	1.0533419	0.9750758	1.1457361	0.4349509	0.7063222	0.9390580	0.7555658	0.4696582	0.4258279	0.2217970	0.1319935	0.2085972	0.0087832	0.8922571
0.7177376	0.8938783	1.1381245	0.6301144	0.3275360	0.0401542	0.1081985	0.0600202	0.8250808	1.0018177	1.0958355	0.5286673	1.0848241	0.6454215	0.7473970	1.0219882	0.4956735	1.1337008	0.0098143	0.1413137	0.9531550	0.7953906	0.2163689	0.1172044	1.0146102	0.5896814	1.0055640	0.0599075	1.0510183	0.8070827	0.0608942	1.0232203	1.0852783	1.0212976	0.3981038	0.2872242	1.0133832	0.9936464	0.9666914	0.4942055	0.7083943	0.8557240	0.7376650	0.4085211	0.3775707	0.2130030	0.1358144	0.2485147	0.0121503	1.0881766
0.5920450	1.0449921	0.9965609	0.6095979	0.3644489	0.0272110	0.0858799	0.0447406	0.9944046	1.0042125	0.9814062	0.4508991	1.0959998	0.5354947	0.9498589	1.0241636	0.5911115	1.0193234	0.0047414	0.2842511	0.4538885	0.9226595	0.2740686	0.0668528	0.9281263	0.6054914	0.9605893	0.0468059	1.1368154	0.8438070	0.0320452	0.9592111	1.0014149	1.0331090	0.3214837	0.1307574	1.0134147	0.9667124	1.0546558	0.4989523	0.6977327	0.8945453	0.6386337	0.5428103	0.5133994	0.2956088	0.1610649	0.0094098	0.0089854	0.9665971
0.7308480	0.9791434	1.0180605	0.5628380	0.3367721	0.0387191	0.0948634	0.0515911	0.7027465	0.9947956	0.9319301	0.5454717	1.0362991	0.5859939	0.7890924	1.0532086	0.5493202	1.0941892	0.0061977	0.3216112	1.1688972	0.3559551	0.2892713	0.2828852	0.9699452	0.5309951	1.0015736	0.0278450	0.9881265	0.8148024	0.0461399	0.8959848	0.9851975	0.9361296	0.3714001	0.2922217	1.0480531	1.0966004	1.0230982	0.5167548	0.6715167	0.9223083	0.6948858	0.4602545	0.3610764	0.1866989	0.1088469	0.2906176	0.0065576	0.9358106
0.7679474	0.9192273	1.0464619	0.6632669	0.3760276	0.0410955	0.1180234	0.0338893	0.9135683	0.9857366	0.9895446	0.4859086	0.9992077	0.5663659	0.9046695	0.9563649	0.5706120	1.0234551	0.0062374	0.2898157	1.0603131	0.9332813	0.1405514	0.1728577	1.0898766	0.6489468	1.0768183	0.0406971	1.0877617	0.7924673	0.0560214	0.9128727	0.9857842	1.0705285	0.2912810	0.1850284	0.9890961	1.0089110	1.0273137	0.3762901	0.6004554	0.9734069	0.6427008	0.4567527	0.3240167	0.3084757	0.0701836	0.2377183	0.0155592	0.9700201
