YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.0000000	1.0261126	0.9307364	0.5337278	0.3505957	0.0434961	0.1017857	0.0446882	0.8446070	1.0162191	1.0522150	0.5086444	0.9942539	0.5662140	0.8234776	0.9893904	0.5818087	1.0986035	0.0047783	0.3479766	1.0463309	0.8424322	0.2326844	0.2310154	1.0456608	0.6347935	0.9870432	0.0230625	1.0096373	0.7784821	0.0457757	1.0806243	1.1200579	1.0666961	0.3050001	0.1880317	0.9108252	1.0051775	1.0246929	0.4337164	0.7536887	0.9839651	0.5734870	0.5020428	0.3437983	0.2168173	0.1332135	0.2668831	0.0049854	0.8618874
0.9803233	0.0000000	1.0132642	0.5793501	0.3434929	0.0252173	0.1347434	0.0379751	0.8736283	1.0547522	0.8909018	0.5812067	1.0465435	0.6093903	0.9025723	1.0278171	0.5515770	1.0092971	0.0124193	0.4120995	0.9571057	0.7789303	0.2554781	0.0693105	1.1153615	0.6340803	1.1013463	0.0417044	1.1238800	0.8369514	0.0274563	0.8731845	0.9350995	0.9048319	0.2801042	0.2274896	0.9373142	0.9356657	1.0224856	0.4943851	0.6959327	0.8588672	0.7475396	0.4698650	0.3003476	0.1898776	0.1690282	0.2306569	0.0013590	0.9277951
0.2214397	1.0616537	0.0000000	0.0642794	1.0795730	0.6524705	1.0032562	0.5769262	0.0434901	0.4210066	0.3799814	1.0267638	1.1170964	0.5658721	0.8336474	1.1411769	0.3109984	1.1431816	1.0467809	0.6966643	0.9052461	0.3278439	0.8123386	0.0949946	1.0298091	0.6120082	0.9913049	0.0259621	1.0135821	1.0015457	0.0487010	1.0078910	1.0053389	1.0041238	0.2985274	0.1212800	1.1042869	1.1590751	1.0285369	0.5984986	0.7355940	0.3231605	0.6868133	0.4266836	0.4182611	0.1761064	0.1080258	0.1959720	0.0135866	0.7958338
0.6383622	1.0432144	0.9718484	0.0000000	0.2887038	0.0290864	0.1052059	0.0372679	0.8212678	1.1356291	1.0372484	0.4594079	1.0633382	0.5675659	0.9400979	1.0093833	0.5039703	1.1069993	0.0046549	0.3582265	0.9812428	0.7464789	0.2883238	0.1796321	0.9535510	0.6733382	1.0713421	0.0328888	1.0497022	0.8269666	0.0336754	1.0895776	0.9638744	1.1642369	0.2921441	0.1833186	1.0672032	1.0087964	0.9553820	0.5032996	0.6485525	0.9088628	0.6637581	0.3851463	0.4130623	0.1799535	0.1013221	0.2182904	0.0095483	0.8191009
0.6325230	0.9314857	0.9374011	0.6459043	0.0000000	0.0529735	0.1246970	0.0564684	0.8576792	0.8779730	0.9522594	0.5380127	0.9460312	0.5573784	0.6917517	1.0130073	0.6375574	1.0251827	0.0123237	0.4002298	1.0684034	0.7824465	0.2835378	0.2843295	0.9073718	0.5902680	1.0446626	0.0443720	0.9599091	0.8307925	0.0532701	1.0382020	0.9821226	0.9781880	0.3923148	0.3118608	0.9355829	1.0121894	1.0496609	0.4939804	0.6656864	0.7888785	0.6795038	0.4284904	0.3430472	0.1994093	0.1576326	0.3407532	0.0065574	0.9731587
0.7327062	1.1522499	1.0859627	0.6598147	0.3238122	0.0000000	0.0816609	0.0440816	0.5575609	1.0645774	1.0958045	0.4489316	0.9224052	0.6839654	0.8837687	0.9389569	0.5238160	1.0098782	0.0148172	0.4132618	0.9261357	0.8217846	0.2622167	0.1500895	1.1133533	0.6155152	0.9261516	0.0500205	1.0139332	0.7358319	0.0467221	0.9262126	1.0659528	1.0828508	0.3846907	0.2400205	0.9488580	1.1180241	0.9501078	0.4333895	0.6736568	0.9519759	0.7255822	0.4165439	0.3479418	0.1486073	0.1425844	0.3291673	0.0056564	0.9050830
0.7499885	0.9803823	1.0138285	0.5828392	0.2249256	0.0238154	0.0000000	0.0483663	1.0060619	0.9686123	1.0024285	0.7567757	0.9933978	0.5903271	0.7887078	0.9893129	0.5223565	1.0453778	0.0034587	0.3646959	1.0263940	0.7141486	0.2388201	0.1037489	1.0110710	0.6025418	1.0161297	0.0490280	1.0746311	0.8247562	0.0613642	0.9350739	0.9285279	1.0597497	0.3133537	0.3110778	1.0298970	1.0317456	0.9309673	0.5839538	0.6290048	0.8855460	0.6811260	0.4633337	0.3053234	0.5038810	0.1214926	0.2686338	0.2394878	0.8833884
0.6648084	1.0323933	1.0884593	0.6225399	0.2751556	0.0467723	0.0767142	0.0000000	0.9252427	0.9260258	0.9861782	0.4646987	0.9540571	0.6615224	0.7912231	0.9555017	0.5523174	1.1281615	0.0071932	0.3995606	1.0594151	0.7855693	0.2332828	0.0596627	1.0394993	0.5724615	1.1089873	0.0721712	1.0321171	0.8286475	0.0448577	0.9496965	1.0471296	1.0736011	0.2735366	0.1765193	0.9892320	1.0414811	0.9868682	0.5335081	0.8684256	0.9647867	0.7017867	0.4119796	0.3393389	0.1829986	0.1338468	0.2654464	0.0095073	0.9925082
0.7048267	1.0116435	0.9206631	0.4738524	0.4112701	0.0425703	0.0816772	0.0454035	0.0000000	1.0647788	0.9253548	0.5686927	1.0421087	0.6549533	0.8966797	1.0226579	0.5205398	0.8843739	0.0059588	0.3701861	1.1306788	0.7679681	0.2585661	0.1451139	1.0399339	0.6214384	1.0373828	0.0297355	0.9919589	0.7877972	0.0417443	0.9239186	0.9857707	1.0904228	0.3113348	0.2575890	1.0499002	1.0404632	1.1293784	0.4574178	0.6745068	0.3282754	0.8153518	0.4440326	0.3287626	0.1171267	0.1248807	0.2152469	0.0085868	0.8960533
0.6785739	1.0190643	0.9775572	0.5234065	0.3053824	0.0445443	0.0927378	0.0629616	0.7409126	0.0000000	0.8552727	0.5506671	0.9100721	0.5499778	0.8995843	0.9415174	0.5425522	1.0628872	0.0100983	0.3951817	1.1324886	0.8055011	0.2398635	0.0772435	1.0585993	0.6432200	1.0216318	0.0634904	0.9806426	0.8107599	0.0415025	0.9493218	1.0462530	1.0047833	0.3116418	0.1788145	1.1302539	0.9813503	0.9774225	0.5899358	0.7686000	0.9385657	0.7551647	0.5016864	0.3859444	0.1693907	0.1292823	0.2839963	0.0120918	0.9360220
