YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.6178305	0.9118925	1.0590914	0.5509998	0.1257491	0.3478305	0.0620866	0.0095595	0.8671930	0.6091475	0.9410468	0.4424832	0.9523431	0.6918996	0.6031183	0.6748270	0.1598434	1.0920694	0.0019180	0.0051726	0.9667390	0.8846173	0.0766482	0.8967398	0.7114188	0.6937125	0.9376720	0.0046800	1.0116390	0.5418143	0.0331243	0.9693352	0.7792652	0.9234109	0.3038017	0.1876595	0.8983100	1.1025567	0.5992388	0.2712355	0.7841819	0.9169764	0.8455540	0.4305022	0.1734110	0.3524788	0.3927237	0.3835296	0.0315516	0.9469793
0.6540165	0.9989482	0.9075731	0.6749320	0.3493046	0.0067469	0.1100198	0.1156304	0.2949820	0.7549778	0.8804763	0.2516708	1.0092132	0.5902724	0.7454567	0.9469082	0.1757336	0.7831752	0.0077931	0.0652275	1.0044271	0.8862290	0.2170076	0.2544414	0.9698871	0.5240456	0.5158835	0.0446215	0.9926640	0.7579764	0.0302292	0.9001420	1.1181967	0.9558532	0.4556042	0.3623358	0.8112447	1.0395160	1.0344019	0.5358526	0.7291348	0.5938144	0.7856999	0.4398794	0.2320276	0.0594074	0.4412127	0.5300967	0.0006953	0.7626345
0.7456958	0.9661982	1.0098122	0.5961863	0.4260618	0.0030117	0.0550972	0.0033597	1.0670475	0.9950995	1.0114866	0.2614203	1.0828513	0.3907939	0.8885821	0.9834835	0.8219420	0.7705061	0.0037847	0.1285188	0.9620682	0.8636101	0.1657583	0.3261601	0.5178591	0.4558855	0.7664170	0.0484634	1.0217166	0.7291253	0.0526303	1.0933999	1.0400022	0.9729818	0.3882719	0.3556423	1.0297052	0.9730288	0.6128398	0.3387436	0.5320953	0.8770795	0.9703773	0.4894983	0.5855302	0.1024319	0.6393643	0.3515410	0.0196450	0.9493408
0.4157917	1.0245756	0.7920524	0.4321190	0.2843388	0.0493401	0.0770396	0.0165404	0.9226874	1.0834620	0.4314598	1.0334955	0.7365388	0.4054359	0.8836489	0.9474145	0.7085044	1.0333764	0.0130210	0.4349297	0.8998231	0.3956342	0.1863155	0.0011083	1.0608596	0.5586635	0.8643710	0.0531247	0.9370967	0.8051709	0.0191962	0.8774791	0.8629106	1.0827530	0.3147633	0.4172082	0.5206373	0.9609403	1.1546481	0.4058231	0.9670768	0.7185047	1.0086045	0.4343175	0.3333801	0.1521576	0.1140057	0.7218315	0.1059035	0.9631144
0.7837734	0.9199895	0.8892024	0.4776590	0.4802547	0.1078645	0.1136717	0.6315317	0.0449581	0.8793507	0.6416761	0.3698663	0.9547167	0.5679603	0.8446831	0.9861218	0.7766888	0.8311524	0.0171325	0.5509930	0.8195503	0.7506675	0.2439446	0.6091583	1.0922839	0.6650103	0.9831935	0.0020792	0.8067350	0.7325195	0.0235186	0.5283980	0.7695876	1.0462419	0.4775138	0.3402127	1.0038066	1.1422616	1.0704859	0.4825769	0.6359078	0.0426316	0.6912169	0.4176948	0.7993205	0.7612709	0.0581102	0.3107961	0.0094998	0.5765036
0.6167166	0.6088047	0.8652782	0.6224017	0.3657403	0.0022950	0.0632298	0.0036898	0.8622717	1.1054360	0.7924023	0.6564809	0.7078645	0.8203458	0.6745133	0.6512165	0.5629581	1.0301843	0.0041118	0.2217109	0.9953134	0.5365470	0.3338230	0.3010530	0.6009218	0.6334644	0.9958658	0.0398340	0.9017356	0.8660388	0.0420299	0.8718289	0.7563845	0.7561643	0.2704808	0.2705389	0.9294331	0.7116270	1.0564682	0.4358345	0.5785818	0.9705793	0.7982817	0.2382763	0.6362586	0.0252067	0.1426124	0.3163167	0.0517059	0.8361379
0.4620049	1.0294562	0.6549599	0.3375784	0.2035812	0.5749516	0.1720220	0.0370895	0.9328349	0.3067842	0.9714061	0.5327501	0.9543322	0.6962714	0.6248290	0.9534037	0.3869317	0.9117784	0.0156521	0.4243876	0.9568553	0.9172710	0.0765645	0.3759947	0.8024363	0.5217045	1.0767479	0.0482102	1.0843574	0.6933027	0.0468239	1.0106375	1.0347632	0.9514835	0.3647354	0.3339779	0.9893622	0.9053242	0.7443916	0.3213511	0.5695403	0.9563584	1.0310576	0.4359474	0.2768216	0.7780111	0.0508853	0.3952633	0.0151132	0.6468054
0.5633179	1.1030655	0.8789409	0.3968833	0.5585653	0.0077356	0.0983272	0.0617612	0.8075492	0.9553560	0.8086247	0.5905298	0.6724510	0.3933318	0.9385782	1.0261734	0.5894313	0.9879093	0.0019448	0.1281476	1.0542022	0.6617197	0.2286968	0.1517355	0.9836067	0.6902346	0.8798572	0.0008448	0.9300047	0.7549052	0.0227630	0.9288286	0.8869402	1.0893178	0.2534032	0.2322723	1.0280050	0.9790201	1.0102278	0.4266938	0.7207640	0.8710400	0.8406910	0.0044426	0.6682180	0.0122265	0.1786903	0.7222060	0.1174516	0.7987339
0.4553218	1.1169034	0.5778722	0.3682055	0.8213129	0.1962952	0.3919550	0.0872897	0.2551070	0.7075111	0.3401154	0.9680651	0.7299343	0.6256968	0.7349976	0.9007077	0.3855055	1.0539411	0.0208896	0.2076225	1.2050672	0.4968161	0.4210976	0.2964937	0.7338087	0.5834515	0.9475595	0.0005542	1.0295006	0.9401804	0.0039733	0.9153887	1.0837294	0.8655967	0.3762291	0.3812664	0.9599097	0.9347344	0.7249633	0.4445344	0.3527301	0.6313159	0.8767567	0.1780497	0.4649209	0.0133738	0.1240277	0.2542110	0.1887941	0.8923548
0.3971895	1.0061191	0.8705607	0.4358819	0.3965172	0.0009859	0.0830560	0.0078041	0.9391919	1.0785992	0.8605378	0.7292520	0.4087339	0.4212183	0.7423219	1.0099928	0.6681466	1.0419551	0.0091947	0.2494965	0.7757263	0.7369267	0.2594368	0.0013107	0.9286060	0.5914365	0.8725479	0.0345157	1.1018857	0.8144896	0.0235397	0.9628980	1.0696185	1.0237478	0.4148326	0.4487746	0.9928361	1.1395447	0.9450761	0.5479823	0.7307875	0.8884809	1.0371696	0.4320184	0.1675811	0.4600881	0.4436710	0.0890302	0.0949281	0.9341103
