"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256290	0.9991589	0.9993072	0.4916405	1.0000000	0.5886407	0.8338755	1.0000000	0.5342970	1.0000000	0.0049989	0.3446651	1.0000000	0.7604794	0.2328184	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869508	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288886	1.0000000	1.0000000	1.0000000	0.4887503	0.6869594	0.8705915	0.6905994	0.4293824	0.3674519	0.1937890	0.1232766	0.2369451	0.0084708	0.9193772
100	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256331	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8001529	1.0000000	0.5481312	1.0000000	0.0049989	0.2744816	1.0000000	0.9016816	0.0217477	0.2200257	1.0000000	0.9591197	1.0000000	0.0030952	1.0000000	0.5776857	0.0412799	0.9542670	1.0000000	0.6604617	0.1970644	0.1621166	1.0000000	0.5512332	1.0000000	0.9049454	0.8374516	0.5314826	0.7381685	0.1963593	0.4408178	0.7534808	0.0636997	0.2370203	0.4973219	0.7074702
200	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256338	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8158001	1.0000000	0.5543689	1.0000000	0.0049989	0.2493541	1.0000000	0.9880271	0.0072098	0.3882682	1.0000000	0.9619083	1.0000000	0.0002476	1.0000000	0.4739652	0.0413227	0.9578561	1.0000000	0.6462656	0.1684099	0.0808934	1.0000000	0.5164624	1.0000000	0.9177829	0.8872771	0.4189322	0.7833735	0.3465936	0.4797531	0.8793477	0.0550619	0.2370559	0.5326439	0.6135517
300	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8179671	1.0000000	0.5551299	1.0000000	0.0049989	0.2542589	1.0000000	0.9983797	0.0062698	0.4092015	1.0000000	0.9619299	1.0000000	0.0000198	1.0000000	0.4667600	0.0413589	0.9586252	1.0000000	0.6456721	0.1659474	0.0657264	1.0000000	0.5137683	1.0000000	0.9125353	0.8877771	0.4148769	0.7934632	0.3498841	0.4854421	0.8799976	0.0529449	0.2370582	0.5355936	0.6047918
400	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8181892	1.0000000	0.5552114	1.0000000	0.0049989	0.2560115	1.0000000	0.9993288	0.0062424	0.4109823	1.0000000	0.9619301	1.0000000	0.0000016	1.0000000	0.4676920	0.0413737	0.9587367	1.0000000	0.6456472	0.1657230	0.0639297	1.0000000	0.5135596	1.0000000	0.9113535	0.8865056	0.4162711	0.7950621	0.3499339	0.4856841	0.8789971	0.0525482	0.2370577	0.5358511	0.6041942
500	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8182112	1.0000000	0.5552200	1.0000000	0.0049989	0.2562038	1.0000000	0.9994324	0.0062474	0.4111251	1.0000000	0.9619301	1.0000000	0.0000001	1.0000000	0.4679908	0.0413781	0.9587505	1.0000000	0.6456462	0.1656960	0.0637401	1.0000000	0.5135434	1.0000000	0.9112367	0.8862971	0.4166124	0.7952883	0.3499349	0.4855977	0.8788795	0.0524826	0.2370576	0.5358705	0.6041561
600	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8744975	1.0000000	0.5536326	1.0000000	0.0049989	0.2763314	1.0000000	0.9336667	0.2174229	0.3132432	1.0000000	0.6019367	1.0000000	0.0355931	1.0000000	0.7600502	0.0413670	0.9538113	1.0000000	0.9851844	0.2463583	0.0856974	1.0000000	0.9623090	1.0000000	0.2938095	0.6710867	0.8720613	0.7541058	0.7288337	0.3708515	0.4184523	0.0876264	0.2369435	0.0481659	0.8410493
700	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8554278	1.0000000	0.5405599	1.0000000	0.0049989	0.3233254	1.0000000	0.7861993	0.2498951	0.1403611	1.0000000	0.5991480	1.0000000	0.0384406	1.0000000	0.8450046	0.0413219	0.9507647	1.0000000	0.9993806	0.3070932	0.1761539	1.0000000	0.9970797	1.0000000	0.4741971	0.6061162	0.9391602	0.7327927	0.4381431	0.3322116	0.2094988	0.1043388	0.2369170	0.0119409	0.9131078
800	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8383854	1.0000000	0.5337648	1.0000000	0.0049989	0.3439314	1.0000000	0.7546237	0.2317480	0.1064520	1.0000000	0.5991264	1.0000000	0.0386684	1.0000000	0.7831881	0.0412895	0.9502108	1.0000000	0.9999741	0.3156227	0.2196014	1.0000000	0.9997737	1.0000000	0.5123906	0.6912841	0.8581969	0.6956603	0.4283269	0.3686747	0.1917845	0.1251134	0.2369473	0.0081273	0.9189443
900	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8344952	1.0000000	0.5344287	1.0000000	0.0049989	0.3442299	1.0000000	0.7618551	0.2306162	0.1090006	1.0000000	0.5991263	1.0000000	0.0386867	1.0000000	0.7804128	0.0412772	0.9501375	1.0000000	0.9999989	0.3164498	0.2277084	1.0000000	0.9999825	1.0000000	0.4874356	0.6951929	0.8611141	0.6896572	0.4296996	0.3707958	0.1943195	0.1246081	0.2369480	0.0084791	0.9193484
1000	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8339510	1.0000000	0.5345496	1.0000000	0.0049989	0.3441630	1.0000000	0.7617205	0.2332235	0.1089800	1.0000000	0.5991263	1.0000000	0.0386881	1.0000000	0.7881819	0.0412737	0.9501286	1.0000000	1.0000000	0.3165354	0.2287503	1.0000000	0.9999986	1.0000000	0.4859509	0.6852013	0.8732088	0.6908504	0.4295824	0.3667816	0.1942530	0.1227351	0.2369444	0.0085403	0.9193753

