YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.3834792	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1523561	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.4074657	0.1241810	0.0000000	1.0000000	0.8140315	0.7572866	0.0000000	1.0000000	1.0000000	0.4887511	0.9453843	0.2830658	0.0741006	0.4293821	0.3674438	0.1937887	0.1232736	0.2368568	0.0350495	0.9193773
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8402886	1.0000000	0.5227984	1.0000000	0.0049989	0.4618344	1.0000000	0.7086249	0.2733761	0.0001256	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.0449553	0.9998715	1.0000000	1.0000000	0.3066018	0.2155484	1.0000000	1.0000000	1.0000000	0.0000000	0.0625609	0.9999999	0.8000207	1.0000000	0.2135285	0.5846055	0.0936827	0.2368568	0.3192684	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8401086	1.0000000	0.5228094	1.0000000	0.0049989	0.4618052	1.0000000	0.7086679	0.2733416	0.9887844	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.4074657	0.9984243	1.0000000	1.0000000	0.3068828	0.2159369	0.0000000	1.0000000	1.0000000	0.0441648	0.0622335	0.9999992	0.2479372	0.9971845	0.2262123	0.5846136	0.0938203	0.2368568	0.0132011	0.9274401
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8337498	1.0000000	0.5228094	1.0000000	0.0049989	0.4618052	1.0000000	0.7086679	0.2733416	0.0001253	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.0449553	0.9492987	0.0000000	1.0000000	0.3167247	0.2291388	1.0000000	1.0000000	1.0000000	0.0441648	0.3979066	0.9999992	0.8000175	0.9971845	0.2262123	0.5846136	0.0938203	0.2368568	0.7828064	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8402884	1.0000000	0.5228096	1.0000000	0.0049989	0.4618047	1.0000000	0.7086682	0.2733416	0.9887824	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.4866274	0.9998715	1.0000000	0.0000000	0.3066019	0.2155487	1.0000000	1.0000000	1.0000000	0.0441648	0.3979067	0.9999993	0.9993471	0.9971845	0.2275950	0.5846137	0.0938202	0.2368568	0.3046288	0.9274397
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8402834	1.0000000	0.5228096	1.0000000	0.0049989	0.2883481	0.0000005	1.0000000	0.2733416	0.4001750	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.0449553	0.9998714	1.0000000	1.0000000	0.3066038	0.2155591	1.0000000	1.0000000	1.0000000	0.0441648	0.0624205	0.9999993	0.8000193	1.0000000	0.6040861	0.9806769	0.0938202	0.0000078	0.5926914	0.9194082
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.6463712	1.0000000	0.5227984	1.0000000	0.0049989	0.3589117	1.0000000	0.7086249	0.2733761	0.0954410	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	1.0000000	0.2180859	0.4697152	1.0000000	1.0000000	0.4846427	0.4589012	0.0000000	1.0000000	1.0000000	0.0000000	0.5064032	0.3374911	0.2479381	0.4252760	0.1786992	0.1787609	0.0936827	0.2368568	0.0040486	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8401174	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.4506762	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.9558963	0.9984243	1.0000000	0.0000000	0.3068796	0.2159190	0.0000000	1.0000000	1.0000000	0.4887511	0.9453843	0.8870232	0.3597046	0.4293821	0.3693475	0.1937887	0.1232736	0.2380149	0.0079325	0.9194425
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.6738357	1.0000000	0.5227984	1.0000000	0.0049989	0.3589117	1.0000000	0.7086249	0.2733761	0.0000349	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	1.0000000	0.0449553	0.5070202	0.0000000	1.0000000	0.4641994	0.4323637	1.0000000	1.0000000	1.0000000	0.0000000	0.9454732	0.9819997	0.8000207	0.4252760	0.1786992	0.1787609	0.0936827	0.2368568	0.3418277	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8337544	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1523557	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.4866274	0.9492987	0.0000001	0.0000000	0.3167233	0.2291301	1.0000000	1.0000000	1.0000000	0.4887511	0.9454070	0.8869650	0.8405050	0.4293821	0.3693475	0.1937887	0.1232736	0.2368568	0.0364505	0.9193773
