YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.3487206	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869427	0.8706143	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.8565356	0.5000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.4562224	1.0000000	0.5000000	0.2689419	0.8597845	0.0969806	0.3723628	0.1729001	0.1190945	0.9639658	0.9343938	0.5466567	1.0000000	0.5886407	0.8338753	1.0000000	0.6412532	1.0000000	0.0106567	0.4779502	1.0000000	0.5618746	0.4083401	0.0984617	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.8279092	0.0412726	0.9501248	1.0000000	1.0000000	0.3165493	0.2288891	1.0000000	1.0000000	1.0000000	0.5286597	0.7190425	0.4901289	0.6849921	0.4203046	0.3814208	0.1602712	0.1306974	0.2383711	0.0071522	0.9193770
0.6974412	1.0000000	1.0000000	0.2900163	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342972	1.0000000	0.0049989	0.3446646	1.0000000	0.7604784	0.2328226	0.1082095	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869631	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887517	0.6869433	0.8706134	0.6906025	0.4293821	0.3674440	0.1937886	0.1232737	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.1562353	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446644	1.0000000	0.7604787	0.2328226	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869634	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887510	0.6869429	0.8706140	0.6906026	0.4293821	0.3674439	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0189362	0.0933102	0.0415224	0.8256339	0.9995557	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869427	0.8706143	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0371885	0.0466551	0.0350421	0.8822195	0.9991934	0.9999314	0.4911496	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8726335	0.6906026	0.4293821	0.3692744	0.1937891	0.1268833	0.2368779	0.0092848	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0207613	0.9687531	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8751818	0.6906026	0.4293821	0.3654592	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.4128173	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8227779	0.6906026	0.4293821	0.3692637	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.4995849	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446644	1.0000000	0.7604787	0.2328226	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869634	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887510	0.6869429	0.8706140	0.6906026	0.4293821	0.3674439	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.4996545	0.9399733	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.2458202	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
