YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.6027262	0.9118628	1.0000000	0.5162744	0.1181457	0.3128939	0.0933102	0.0302937	0.8916718	0.6622522	0.8895978	0.4712563	0.9115629	0.6779344	0.6027595	0.7460153	0.1464379	0.9440859	0.0010399	0.0067905	1.0000000	0.8417546	0.0756006	0.8824218	0.6547046	0.6651351	1.0000000	0.0000000	0.9668676	0.5244553	0.0357103	0.9335544	0.8995136	0.9896928	0.2721201	0.1582968	0.7870859	1.0000000	0.6237223	0.2554650	0.7357009	0.9668951	0.8784187	0.4203178	0.1613886	0.3291781	0.4400597	0.4182003	0.0173642	0.8871894
0.7247068	0.8617922	1.0000000	0.6574775	0.3124703	0.0093821	0.0933102	0.1134582	0.2553963	0.7436250	0.8529147	0.2641802	1.0000000	0.5304837	0.7424774	1.0000000	0.2054344	0.7818216	0.0008038	0.0411594	1.0000000	0.8376797	0.1747750	0.3177377	1.0000000	0.4987234	0.4907791	0.0386883	1.0000000	0.7940713	0.0356151	0.9017181	1.0000000	1.0000000	0.4336436	0.3785335	0.7763700	1.0000000	1.0000000	0.4516386	0.8357893	0.5967239	0.7338014	0.4437266	0.2358557	0.0634949	0.3605501	0.4799114	0.0002394	0.7931394
0.7096807	0.8852549	0.9706560	0.5927131	0.3355831	0.0001812	0.0550190	0.0027317	0.9998704	0.9996192	0.9998811	0.2585641	1.0000000	0.4144969	0.7469598	1.0000000	0.7883706	0.7444524	0.0010284	0.1364581	1.0000000	0.8051746	0.1991090	0.3480439	0.5287987	0.4750340	0.7812909	0.0386883	0.9798616	0.6927517	0.0398013	0.9841213	0.9600034	1.0000000	0.4424678	0.3905136	1.0000000	0.9841535	0.6277382	0.3474872	0.5401535	0.8982721	0.9878624	0.3614281	0.5327673	0.0517753	0.5937873	0.3515954	0.0088505	0.9024027
0.3663703	1.0000000	0.7990702	0.4049565	0.3552578	0.0593896	0.0984359	0.0094093	0.9962746	0.9991792	0.4588104	0.9580997	0.7270272	0.4127378	0.9289063	1.0000000	0.7667963	1.0000000	0.0058678	0.4381416	0.8566935	0.3427490	0.2221236	0.0001226	0.9214013	0.5220199	0.8907866	0.0386883	0.9136092	0.8021572	0.0049979	0.8865991	0.9268514	1.0000000	0.2685833	0.3285099	0.5967490	1.0000000	1.0000000	0.4596074	0.9082667	0.7419609	0.9268607	0.4309056	0.3280573	0.1088779	0.1100112	0.6685876	0.0951081	0.9512907
0.7073428	0.7713434	0.8696116	0.4467783	0.4291418	0.0884415	0.1200479	0.6194234	0.0397726	0.8608638	0.6538906	0.4282358	1.0000000	0.5544225	0.8072780	1.0000000	0.7688546	0.8604090	0.0054781	0.5446778	0.7643823	0.7622208	0.2513670	0.5964069	1.0000000	0.6613353	1.0000000	0.0000001	0.9014961	0.8077652	0.0332857	0.5783830	0.8002408	1.0000000	0.3699403	0.2899390	0.9846701	1.0000000	0.9747570	0.4650885	0.6164968	0.0322802	0.6968726	0.4246892	0.6593626	0.7147406	0.0441261	0.2689860	0.0061378	0.5580212
0.6613635	0.6593612	0.8423946	0.5858960	0.4262237	0.0000808	0.0397328	0.0013637	0.8999586	1.0000000	0.8205870	0.5515260	0.7410087	0.7938267	0.6453441	0.7434614	0.5948416	1.0000000	0.0056144	0.1671652	1.0000000	0.6628337	0.2553788	0.2201221	0.6438292	0.5682784	1.0000000	0.0386883	0.8924188	0.8085579	0.0392034	0.8237504	0.7416049	0.8558910	0.3758375	0.2981951	0.9034558	0.6599256	1.0000000	0.4658835	0.5144062	0.9348399	0.7319631	0.2634632	0.6682157	0.0418039	0.1221528	0.3016095	0.0484978	0.8815778
0.4946700	1.0000000	0.6923656	0.3367039	0.1480366	0.5614735	0.1913315	0.0378124	0.8591158	0.3781347	0.9924446	0.4970859	1.0000000	0.6764499	0.6455922	1.0000000	0.4655396	1.0000000	0.0067655	0.4009896	0.9494356	0.9583720	0.0746676	0.2111929	0.8859207	0.5628509	1.0000000	0.0386883	1.0000000	0.6199874	0.0413657	0.9591371	1.0000000	0.9808222	0.3470279	0.3144322	1.0000000	0.8715612	0.7569228	0.3490684	0.5196712	0.9602099	0.8948047	0.4123344	0.2677945	0.7617064	0.0404584	0.3096599	0.0108797	0.6940350
0.5152881	1.0000000	0.8442567	0.4320764	0.4559889	0.0006829	0.0840707	0.0485021	0.7570497	0.9995862	0.9376130	0.5437489	0.6387510	0.4243736	0.8848043	1.0000000	0.5400174	1.0000000	0.0013661	0.1140471	1.0000000	0.6438988	0.2566403	0.1590961	1.0000000	0.7000365	1.0000000	0.0000000	1.0000000	0.7239582	0.0418239	0.9710155	0.8720981	0.9864442	0.2459462	0.2122606	1.0000000	0.9268050	1.0000000	0.4582813	0.7109337	0.8946656	0.7999960	0.0066586	0.6524608	0.0195894	0.1498402	0.5730736	0.1285466	0.8518634
0.4596885	1.0000000	0.5057482	0.3417212	0.8543855	0.2097395	0.3644472	0.1343756	0.1873892	0.6184676	0.3337155	0.8815219	0.8053282	0.6795853	0.6842276	1.0000000	0.4158432	1.0000000	0.0104560	0.2295137	1.0000000	0.5589656	0.4114982	0.3350288	0.7656845	0.5754805	0.9050578	0.0000000	1.0000000	0.8221212	0.0000011	0.9065344	1.0000000	0.8482907	0.3472275	0.2581831	1.0000000	0.9704828	0.7023210	0.4989976	0.3141122	0.5047083	0.8950776	0.1920919	0.5164025	0.0207930	0.1079416	0.1945089	0.2211589	0.9317061
0.3944756	1.0000000	0.8064777	0.4094809	0.4201731	0.0007313	0.0850467	0.0069013	0.9923239	0.9998033	0.7848533	0.6967899	0.4444523	0.4167270	0.8867218	0.9945066	0.6769190	1.0000000	0.0013593	0.2148820	0.8111857	0.7215611	0.2518831	0.0001410	1.0000000	0.5620487	0.7662631	0.0386883	1.0000000	0.7458889	0.0308187	0.9694679	1.0000000	1.0000000	0.3454800	0.2557521	1.0000000	1.0000000	0.8997154	0.5108338	0.7285048	0.7996220	0.9360255	0.4275629	0.1800635	0.4769660	0.4509726	0.0936892	0.1088420	0.9261703
