"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415225	0.8255774	0.9991589	0.9993072	0.4916433	1.0000000	0.5886407	0.8338751	1.0000000	0.5342964	1.0000000	0.0049989	0.3446667	1.0000000	0.7604738	0.2328198	0.1082086	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869524	0.0412726	0.9501272	1.0000000	1.0000000	0.3165488	0.2288889	1.0000000	1.0000000	1.0000000	0.4887608	0.6869514	0.8705821	0.6906008	0.4293816	0.3674536	0.1937870	0.1232770	0.2369451	0.0084705	0.9193772
100	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256234	0.9991589	0.9993073	0.4916409	1.0000000	0.5886407	0.8009397	1.0000000	0.5446037	1.0000000	0.0049989	0.3039859	1.0000000	0.8417854	0.0832390	0.1891486	1.0000000	0.9114681	1.0000000	0.0110347	1.0000000	0.6721193	0.0412745	0.9518779	1.0000000	0.7061322	0.2278100	0.1944976	1.0000000	0.6266830	1.0000000	0.8512111	0.7554075	0.6650017	0.7134544	0.1404089	0.4072421	0.6407922	0.0788073	0.2369951	0.3835792	0.7958743
200	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256320	0.9991589	0.9993073	0.4916405	1.0000000	0.5886407	0.8112069	1.0000000	0.5536226	1.0000000	0.0049989	0.2554328	1.0000000	0.9644165	0.0203311	0.3786914	1.0000000	0.9584234	1.0000000	0.0015379	1.0000000	0.5098557	0.0413017	0.9559875	1.0000000	0.6499750	0.1733197	0.1009147	1.0000000	0.5258119	1.0000000	0.9166486	0.8511787	0.4508046	0.7664839	0.3269414	0.4646318	0.8519685	0.0599669	0.2370493	0.5134166	0.6420129
300	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256335	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8168674	1.0000000	0.5550421	1.0000000	0.0049989	0.2530468	1.0000000	0.9947503	0.0084235	0.4083246	1.0000000	0.9616992	1.0000000	0.0001771	1.0000000	0.4714108	0.0413413	0.9580038	1.0000000	0.6458981	0.1664284	0.0696020	1.0000000	0.5146554	1.0000000	0.9135727	0.8804274	0.4172961	0.7887898	0.3488809	0.4823434	0.8791291	0.0542381	0.2370579	0.5330570	0.6088058
400	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256338	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8180076	1.0000000	0.5552020	1.0000000	0.0049989	0.2555015	1.0000000	0.9988964	0.0065575	0.4109101	1.0000000	0.9619150	1.0000000	0.0000186	1.0000000	0.4678042	0.0413656	0.9585846	1.0000000	0.6456595	0.1657699	0.0644454	1.0000000	0.5136359	1.0000000	0.9115694	0.8854877	0.4160416	0.7941252	0.3498943	0.4853264	0.8791554	0.0528359	0.2370578	0.5355489	0.6046240
500	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8181851	1.0000000	0.5552190	1.0000000	0.0049989	0.2561308	1.0000000	0.9993819	0.0062910	0.4111195	1.0000000	0.9619291	1.0000000	0.0000019	1.0000000	0.4679203	0.0413753	0.9587182	1.0000000	0.6456468	0.1657017	0.0637997	1.0000000	0.5135497	1.0000000	0.9112566	0.8861596	0.4165181	0.7951275	0.3499334	0.4855888	0.8789088	0.0525387	0.2370576	0.5358375	0.6041967
600	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8619215	1.0000000	0.5544679	1.0000000	0.0049989	0.2664517	1.0000000	0.9698065	0.1362343	0.3386484	1.0000000	0.6495882	1.0000000	0.0276538	1.0000000	0.6236397	0.0413743	0.9565058	1.0000000	0.9395140	0.2167147	0.0732372	1.0000000	0.8868596	1.0000000	0.3511298	0.8059813	0.6922266	0.7694807	0.8201972	0.4282233	0.5462981	0.0864701	0.2369832	0.1611082	0.7506827
700	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8633377	1.0000000	0.5437132	1.0000000	0.0049989	0.3062957	1.0000000	0.8317918	0.2316178	0.1539292	1.0000000	0.6026330	1.0000000	0.0371504	1.0000000	0.8257501	0.0413435	0.9524315	1.0000000	0.9956712	0.2957554	0.1476588	1.0000000	0.9877302	1.0000000	0.4274233	0.6437968	0.9267828	0.7481992	0.4790365	0.3402951	0.2568620	0.0944474	0.2369158	0.0319498	0.8903399
800	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8448845	1.0000000	0.5344669	1.0000000	0.0049989	0.3378201	1.0000000	0.7624161	0.2365464	0.1073907	1.0000000	0.5993572	1.0000000	0.0385112	1.0000000	0.8015492	0.0413054	0.9507134	1.0000000	0.9997481	0.3140627	0.2085840	1.0000000	0.9988866	1.0000000	0.5108109	0.6603460	0.8817265	0.7091588	0.4305424	0.3571826	0.1965172	0.1169049	0.2369406	0.0108307	0.9159806
900	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8363476	1.0000000	0.5342377	1.0000000	0.0049989	0.3440053	1.0000000	0.7601000	0.2309166	0.1086469	1.0000000	0.5991414	1.0000000	0.0386696	1.0000000	0.7806205	0.0412841	0.9502542	1.0000000	0.9999867	0.3162864	0.2255922	1.0000000	0.9999062	1.0000000	0.4929529	0.6899146	0.8580314	0.6923349	0.4294498	0.3701657	0.1938027	0.1244201	0.2369487	0.0085863	0.9190380
1000	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8343084	1.0000000	0.5345852	1.0000000	0.0049989	0.3440573	1.0000000	0.7620491	0.2323401	0.1091189	1.0000000	0.5991273	1.0000000	0.0386864	1.0000000	0.7859169	0.0412760	0.9501529	1.0000000	0.9999993	0.3165177	0.2284534	1.0000000	0.9999924	1.0000000	0.4854452	0.6883138	0.8701949	0.6906851	0.4296694	0.3679624	0.1943947	0.1232583	0.2369451	0.0085534	0.9193460

0	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415225	0.8255774	0.9991589	0.9993072	0.4916433	1.0000000	0.5886407	0.8338751	1.0000000	0.5342964	1.0000000	0.0049989	0.3446667	1.0000000	0.7604738	0.2328198	0.1082086	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869524	0.0412726	0.9501272	1.0000000	1.0000000	0.3165488	0.2288889	1.0000000	1.0000000	1.0000000	0.4887608	0.6869514	0.8705821	0.6906008	0.4293816	0.3674536	0.1937870	0.1232770	0.2369451	0.0084705	0.9193772
