YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.3835379	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1523560	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.4074556	0.1241862	0.0000001	1.0000000	0.8140180	0.7572425	0.0000000	1.0000000	1.0000000	0.4887511	0.9453728	0.2830658	0.0741123	0.4293821	0.3674438	0.1937887	0.1232736	0.2368568	0.0350495	0.9193773
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8402854	1.0000000	0.5227984	1.0000000	0.0049989	0.4618343	1.0000000	0.7086249	0.2733761	0.0001258	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.0449552	0.9998703	1.0000000	1.0000000	0.3066022	0.2155514	1.0000000	1.0000000	1.0000000	0.0000000	0.0625642	0.9999972	0.8000207	1.0000000	0.2135285	0.5846055	0.0936826	0.2368568	0.3192683	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8400809	1.0000000	0.5228094	1.0000000	0.0049989	0.4618050	1.0000000	0.7086680	0.2733415	0.9887841	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.4074556	0.9984141	1.0000000	1.0000000	0.3068862	0.2159621	0.0000000	1.0000000	1.0000000	0.0441648	0.0622373	0.9999939	0.2479510	0.9971845	0.2262123	0.5846136	0.0938202	0.2368568	0.0132011	0.9274391
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8337270	1.0000000	0.5228094	1.0000000	0.0049989	0.4618050	1.0000000	0.7086680	0.2733415	0.0001253	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.0449553	0.9492915	0.0000001	1.0000000	0.3167274	0.2291583	1.0000000	1.0000000	1.0000000	0.0441648	0.3978998	0.9999965	0.8000174	0.9971845	0.2262123	0.5846136	0.0938202	0.2368568	0.7828060	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8402849	1.0000000	0.5228098	1.0000000	0.0049989	0.4618035	1.0000000	0.7086690	0.2733414	0.9887812	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.4865719	0.9998702	1.0000000	0.0000000	0.3066023	0.2155520	1.0000000	1.0000000	1.0000000	0.0441648	0.3979162	0.9999993	0.9993464	0.9971845	0.2275955	0.5846128	0.0938199	0.2368568	0.3046271	0.9274363
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8402686	1.0000000	0.5228098	1.0000000	0.0049989	0.2883473	0.0000013	1.0000000	0.2733414	0.4001750	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.0000000	0.0449552	0.9998650	1.0000000	1.0000000	0.3066059	0.2155738	1.0000000	1.0000000	1.0000000	0.0441648	0.0624386	0.9999993	0.8000189	1.0000000	0.6040859	0.9806761	0.0938199	0.0000078	0.5926839	0.9194082
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.6464203	1.0000000	0.5227984	1.0000000	0.0049989	0.3589116	1.0000000	0.7086249	0.2733761	0.0954411	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	1.0000000	0.2181099	0.4697178	1.0000000	1.0000000	0.4846401	0.4588818	0.0000000	1.0000000	1.0000000	0.0000000	0.5064038	0.3374911	0.2479519	0.4252760	0.1786992	0.1787609	0.0936826	0.2368568	0.0040486	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8401131	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.4506762	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.9558680	0.9984227	1.0000000	0.0000000	0.3068801	0.2159229	0.0000000	1.0000000	1.0000000	0.4887511	0.9453829	0.8870232	0.3597189	0.4293821	0.3693475	0.1937887	0.1232736	0.2380149	0.0079325	0.9194425
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.6738946	1.0000000	0.5227984	1.0000000	0.0049989	0.3589116	1.0000000	0.7086249	0.2733761	0.0000349	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	1.0000000	0.0449553	0.5070237	0.0000001	1.0000000	0.4641962	0.4323396	1.0000000	1.0000000	1.0000000	0.0000000	0.9454599	0.9819997	0.8000207	0.4252760	0.1786992	0.1787609	0.0936826	0.2368568	0.3418278	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8337457	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1523555	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.4865719	0.9492950	0.0000005	0.0000000	0.3167245	0.2291385	1.0000000	1.0000000	1.0000000	0.4887511	0.9454016	0.8869650	0.8405049	0.4293821	0.3693475	0.1937887	0.1232736	0.2368568	0.0364505	0.9193773
