YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.3487396	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446644	1.0000000	0.7604787	0.2328227	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887510	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.8564818	0.5000071	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.4562224	1.0000000	0.5000000	0.2689419	0.8597845	0.0969806	0.3723628	0.1728999	0.1191051	0.9639660	0.9343939	0.5466510	1.0000000	0.5886407	0.8338753	1.0000000	0.6412531	1.0000000	0.0106567	0.4779505	1.0000000	0.5618743	0.4083397	0.0984617	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.8279087	0.0412726	0.9501248	1.0000000	1.0000000	0.3165493	0.2288891	1.0000000	1.0000000	1.0000000	0.5286601	0.7190430	0.4901950	0.6849920	0.4203046	0.3814204	0.1602712	0.1306976	0.2383711	0.0071522	0.9193770
0.6974412	1.0000000	1.0000000	0.2900178	0.3124703	0.0378722	0.0933102	0.0415224	0.8256335	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342972	1.0000000	0.0049989	0.3446645	1.0000000	0.7604783	0.2328228	0.1082095	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869636	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887519	0.6869425	0.8706140	0.6906027	0.4293821	0.3674438	0.1937885	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.1562469	0.0378722	0.0933102	0.0415224	0.8256338	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328226	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869633	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869430	0.8706138	0.6906026	0.4293821	0.3674440	0.1937887	0.1232737	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0189367	0.0933102	0.0415224	0.8256339	0.9995557	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446644	1.0000000	0.7604787	0.2328227	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887510	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0371886	0.0466552	0.0350425	0.8821336	0.9991934	0.9999314	0.4911502	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8726274	0.6906026	0.4293821	0.3692745	0.1937891	0.1268831	0.2368779	0.0092847	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0207617	0.9686347	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8751739	0.6906026	0.4293821	0.3654691	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.4128505	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8228124	0.6906026	0.4293821	0.3692634	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256338	0.4995943	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328226	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869633	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869430	0.8706138	0.6906026	0.4293821	0.3674440	0.1937887	0.1232737	0.2369451	0.0084708	0.9193772
