YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.6027262	0.9118628	1.0000000	0.5162744	0.1181457	0.3128939	0.0933102	0.0302937	0.8916683	0.6622522	0.8895979	0.4712513	0.9115629	0.6779344	0.6027622	0.7460153	0.1464379	0.9440859	0.0010399	0.0067906	1.0000000	0.8417547	0.0756007	0.8824137	0.6547047	0.6651351	1.0000000	0.0000000	0.9668676	0.5244588	0.0357102	0.9335572	0.8995136	0.9896928	0.2721193	0.1582924	0.7870860	1.0000000	0.6237223	0.2554597	0.7357027	0.9668949	0.8784183	0.4203204	0.1613869	0.3291786	0.4400594	0.4182003	0.0173649	0.8871792
0.7247066	0.8617922	1.0000000	0.6574775	0.3124703	0.0093821	0.0933102	0.1134581	0.2554118	0.7436250	0.8529148	0.2641764	1.0000000	0.5304839	0.7425308	1.0000000	0.2054345	0.7818218	0.0008038	0.0411596	1.0000000	0.8376795	0.1747744	0.3177375	1.0000000	0.4987235	0.4907791	0.0386883	1.0000000	0.7940684	0.0356152	0.9017219	1.0000000	1.0000000	0.4336412	0.3785125	0.7763701	1.0000000	1.0000000	0.4516387	0.8357838	0.5967808	0.7338006	0.4437267	0.2358570	0.0634948	0.3605499	0.4799114	0.0002394	0.7931389
0.7096800	0.8852551	0.9706560	0.5927131	0.3355831	0.0001812	0.0550189	0.0027319	0.9998599	0.9996192	0.9998811	0.2585690	1.0000000	0.4144983	0.7470506	1.0000000	0.7883723	0.7444539	0.0010284	0.1364550	1.0000000	0.8051860	0.1991130	0.3480456	0.5287988	0.4750344	0.7812910	0.0386883	0.9798616	0.6927858	0.0398011	0.9841204	0.9600035	1.0000000	0.4424658	0.3904821	1.0000000	0.9841535	0.6277383	0.3474534	0.5401087	0.8982932	0.9878609	0.3614318	0.5327490	0.0517793	0.5937775	0.3515954	0.0088528	0.9024015
0.3663705	1.0000000	0.7990702	0.4049565	0.3552578	0.0593895	0.0984355	0.0094079	0.9962931	0.9991793	0.4588107	0.9580847	0.7270272	0.4127379	0.9289220	1.0000000	0.7667963	1.0000000	0.0058678	0.4381412	0.8566936	0.3427489	0.2221233	0.0001226	0.9214013	0.5220200	0.8907866	0.0386883	0.9136092	0.8021560	0.0049980	0.8866091	0.9268515	1.0000000	0.2685794	0.3284920	0.5967492	1.0000000	1.0000000	0.4596089	0.9082634	0.7419621	0.9268608	0.4309055	0.3280577	0.1088777	0.1100114	0.6685878	0.0951080	0.9512906
0.7073428	0.7713434	0.8696116	0.4467783	0.4291418	0.0884415	0.1200478	0.6194233	0.0397731	0.8608638	0.6538907	0.4282333	1.0000000	0.5544225	0.8072819	1.0000000	0.7688547	0.8604090	0.0054781	0.5446778	0.7643823	0.7622211	0.2513665	0.5964069	1.0000000	0.6613353	1.0000000	0.0000001	0.9014961	0.8077639	0.0332860	0.5783834	0.8002408	1.0000000	0.3699401	0.2899368	0.9846701	1.0000000	0.9747570	0.4650879	0.6164989	0.0322832	0.6968722	0.4246892	0.6593631	0.7147406	0.0441263	0.2689861	0.0061378	0.5580212
0.6613593	0.6593619	0.8423946	0.5858960	0.4262231	0.0000808	0.0397322	0.0013634	0.8999516	1.0000000	0.8205876	0.5514818	0.7410087	0.7938266	0.6453826	0.7434614	0.5948417	1.0000000	0.0056144	0.1671627	1.0000000	0.6628353	0.2553831	0.2201213	0.6438293	0.5682784	1.0000000	0.0386883	0.8924188	0.8085696	0.0392039	0.8237594	0.7416055	0.8558910	0.3758336	0.2981693	0.9034561	0.6599256	1.0000000	0.4658856	0.5143810	0.9348470	0.7319624	0.2634626	0.6682109	0.0418041	0.1221477	0.3016095	0.0484983	0.8815778
0.4946700	1.0000000	0.6923656	0.3367039	0.1480366	0.5614735	0.1913315	0.0378122	0.8591695	0.3781347	0.9924447	0.4970843	1.0000000	0.6764499	0.6455922	1.0000000	0.4655396	1.0000000	0.0067655	0.4009897	0.9494356	0.9583721	0.0746675	0.2111932	0.8859207	0.5628509	1.0000000	0.0386883	1.0000000	0.6199860	0.0413657	0.9591371	1.0000000	0.9808222	0.3470279	0.3144322	1.0000000	0.8715612	0.7569228	0.3490668	0.5196736	0.9602142	0.8948038	0.4123357	0.2677431	0.7617069	0.0404585	0.3096599	0.0108797	0.6940350
0.5152882	1.0000000	0.8442567	0.4320764	0.4559888	0.0006829	0.0840705	0.0485013	0.7571570	0.9995862	0.9376131	0.5437451	0.6387510	0.4243737	0.8848033	1.0000000	0.5400173	1.0000000	0.0013661	0.1140462	1.0000000	0.6438982	0.2566453	0.1590962	1.0000000	0.7000365	1.0000000	0.0000000	1.0000000	0.7239713	0.0418238	0.9710154	0.8720982	0.9864442	0.2459462	0.2122607	1.0000000	0.9268050	1.0000000	0.4582848	0.7109085	0.8946906	0.8000005	0.0066583	0.6524536	0.0195892	0.1498361	0.5730736	0.1285467	0.8518634
0.4596885	1.0000000	0.5057482	0.3417212	0.8543855	0.2097395	0.3644472	0.1343754	0.1874110	0.6184679	0.3337155	0.8815216	0.8053282	0.6795853	0.6842276	1.0000000	0.4158431	1.0000000	0.0104560	0.2295138	1.0000000	0.5589655	0.4114979	0.3350288	0.7656845	0.5754805	0.9050578	0.0000000	1.0000000	0.8221208	0.0000011	0.9065344	1.0000000	0.8482907	0.3472275	0.2581831	1.0000000	0.9704828	0.7023210	0.4989978	0.3141127	0.5047925	0.8950775	0.1920919	0.5163985	0.0207930	0.1079417	0.1945089	0.2211589	0.9317061
0.3944757	1.0000000	0.8064777	0.4094809	0.4201731	0.0007312	0.0850464	0.0069004	0.9923302	0.9998033	0.7848535	0.6967771	0.4444523	0.4167271	0.8867270	0.9945066	0.6769194	1.0000000	0.0013593	0.2148797	0.8111858	0.7215644	0.2518851	0.0001410	1.0000000	0.5620487	0.7662631	0.0386883	1.0000000	0.7458946	0.0308187	0.9694678	1.0000000	1.0000000	0.3454799	0.2557493	1.0000000	1.0000000	0.8997154	0.5108289	0.7284943	0.7996351	0.9360259	0.4275631	0.1800615	0.4769667	0.4509681	0.0936894	0.1088423	0.9261700
