"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.5161131	0.6377477	0.6468141	0.4483954	0.2738509	0.0256725	0.0614620	0.0428235	0.5581984	0.7884533	0.6375599	0.3339352	0.7141247	0.3839931	0.5593250	0.7336190	0.4588012	0.7052751	0.0016862	0.3157174	0.7002332	0.5927419	0.1765510	0.0771557	0.6038038	0.4008237	0.7276891	0.0338518	0.8074105	0.5293267	0.0121514	0.6172994	0.7216391	0.7480437	0.2351541	0.1880767	0.6830780	0.8132003	0.6173171	0.3188384	0.4279284	0.6206908	0.4408458	0.3540141	0.2265815	0.1864304	0.0700071	0.1496164	0.0047554	0.7402051
100	0.5201455	0.7948974	0.7034098	0.3477277	0.2667815	0.0607928	0.0424155	0.0215709	0.6915429	0.7065601	0.7810580	0.3500630	0.6768993	0.4164637	0.6113318	0.7816051	0.3680855	0.8733621	0.0025144	0.2290076	0.7420118	0.5672019	0.0468395	0.1384841	0.7479495	0.5617540	0.8337695	0.0168242	0.7417063	0.4217549	0.0333571	0.7020941	0.7639068	0.4943931	0.1467060	0.1509933	0.6742573	0.5180381	0.7319391	0.6716712	0.5764009	0.4896505	0.4787964	0.0933394	0.3204232	0.4755303	0.0365358	0.0899306	0.2914369	0.6035295
200	0.5012723	0.7280827	0.6501737	0.4368080	0.2116430	0.0262053	0.0665191	0.0271413	0.6456978	0.6183413	0.7703445	0.3952404	0.7544380	0.3997223	0.5014581	0.8081649	0.3493259	0.7018305	0.0011127	0.1737050	0.7928208	0.6690403	0.0185784	0.2803981	0.6612419	0.6532272	0.6169393	0.0003185	0.6502535	0.2840707	0.0332401	0.6293285	0.6477890	0.4176161	0.1232671	0.0698257	0.7715504	0.2606466	0.6357106	0.7363836	0.7314570	0.3259643	0.6019218	0.2036819	0.3052192	0.6729678	0.0584385	0.1625125	0.2661605	0.4876420
300	0.5190603	0.7196783	0.7982213	0.4586905	0.2316227	0.0362724	0.0694032	0.0233065	0.5530173	0.6790428	0.8747026	0.3322906	0.6546954	0.4607025	0.5645288	0.6701099	0.4069871	0.7376145	0.0020618	0.2777463	0.8445079	0.8762202	0.0037781	0.3406603	0.6953148	0.7136727	0.7509101	0.0026429	0.5945417	0.4065422	0.0553864	0.5987100	0.5897626	0.3709118	0.1046363	0.0500028	0.7290959	0.3700945	0.6118422	0.7706349	0.6013142	0.3104800	0.6274638	0.1968511	0.4090650	0.5850790	0.0384212	0.1931074	0.4257209	0.5651639
400	0.5622906	0.6398110	0.6036012	0.4558144	0.1581309	0.0246999	0.0620851	0.0287240	0.7320933	0.7447572	0.7088511	0.2419588	0.6456841	0.4699567	0.5114604	0.7271481	0.4232631	0.6870380	0.0283633	0.1947510	0.6528489	0.6683044	0.0010838	0.3316082	0.6933710	0.7286827	0.6706005	0.0003408	0.7715745	0.2920948	0.0335931	0.7083264	0.7426596	0.5033303	0.1257209	0.0304486	0.6713322	0.3489703	0.7130699	0.5915901	0.6405850	0.3092019	0.4976754	0.1694454	0.3349493	0.5708838	0.0410739	0.2033641	0.4348309	0.3617780
500	0.4846607	0.6553256	0.6559534	0.3397720	0.2314192	0.0354340	0.0632982	0.0383100	0.6479370	0.6887739	0.5685538	0.3488419	0.7420893	0.3275287	0.6352483	0.7447768	0.3877057	0.6759558	0.0007875	0.1908848	0.5641390	0.7575567	0.0026410	0.2915090	0.7563227	0.6066047	0.7179209	0.0000024	0.7364735	0.2897675	0.0131558	0.8267500	0.7189863	0.3999126	0.1281899	0.0966624	0.7493207	0.3364450	0.7784614	0.6803192	0.5977526	0.2753782	0.5662157	0.3709422	0.4460278	0.7490718	0.0281502	0.1675231	0.5204385	0.3635477
600	0.4964970	0.6494676	0.7736103	0.4403419	0.2885881	0.0101259	0.0547295	0.0186148	0.5981254	0.7188882	0.7407158	0.3633544	0.7447195	0.5106124	0.6893261	0.6027000	0.4424796	0.6368283	0.0078737	0.2421029	0.5892567	0.6732866	0.0876010	0.2403569	0.6575200	0.3780429	0.7314454	0.0293840	0.6729582	0.4555547	0.0436978	0.5954333	0.6625587	0.6671599	0.1636898	0.0549380	0.6179084	0.6227801	0.6938852	0.1770823	0.5462432	0.5584277	0.6210335	0.4821145	0.2834016	0.4411603	0.1410786	0.1720048	0.0669709	0.5116959
700	0.5314132	0.6785961	0.7400155	0.3503024	0.2652678	0.0516059	0.0430583	0.0140704	0.5231814	0.7960203	0.7526908	0.3838819	0.7383112	0.5137240	0.6010775	0.7077021	0.3046236	0.8252920	0.0009931	0.2276411	0.5949342	0.5911444	0.1060607	0.1079119	0.7341627	0.3838195	0.7184376	0.0105987	0.7977621	0.6486431	0.0144486	0.6076905	0.7750640	0.7018998	0.2224248	0.1195935	0.7425311	0.6481053	0.8105989	0.3165741	0.4321592	0.6601624	0.6035391	0.2849475	0.2075838	0.2060161	0.1230653	0.1909501	0.0248592	0.6080295
800	0.5368440	0.7736125	0.6799284	0.3823985	0.2569647	0.0077290	0.0451211	0.0131613	0.6742046	0.7250841	0.6405420	0.3096215	0.6467242	0.4172703	0.8595383	0.6632674	0.3680502	0.6958261	0.0036193	0.2647886	0.6280499	0.5620721	0.1607573	0.1237934	0.8944077	0.3771489	0.6577826	0.0293924	0.7409747	0.6082849	0.0279469	0.6171275	0.6850997	0.7228354	0.1434441	0.1146489	0.7385559	0.7404000	0.7428732	0.3772027	0.4676813	0.6072314	0.4326978	0.3049558	0.1977551	0.0991805	0.0744872	0.1519460	0.0058097	0.7604253
900	0.4926756	0.7619836	0.7943460	0.3748134	0.2343945	0.0442059	0.0493668	0.0282822	0.6207210	0.7907290	0.7607458	0.3332787	0.5890090	0.3899464	0.5572755	0.7921310	0.4021215	0.7163376	0.0000000	0.2104557	0.6301576	0.5740679	0.1933494	0.1039004	0.7190816	0.4556287	0.9187322	0.0465951	0.8793292	0.5373935	0.0138779	0.7217845	0.7541855	0.8169934	0.2058938	0.1695756	0.6653830	0.7156559	0.6619832	0.3533142	0.5311590	0.6274045	0.4949379	0.3345067	0.2468903	0.1496483	0.1238929	0.1845424	0.0095063	0.6488854
1000	0.3863490	0.6864754	0.6786441	0.4200470	0.2279405	0.0161214	0.0355513	0.0823289	0.5265215	0.7413857	0.6987032	0.3481335	0.7786912	0.3019863	0.6374485	0.7610552	0.5465197	0.6242483	0.0026718	0.2258694	0.7039898	0.6576177	0.1555793	0.1602927	0.7943361	0.4957815	0.7271198	0.0209034	0.6949365	0.6265677	0.0290180	0.5685988	0.7840353	0.7805957	0.3149257	0.1889551	0.7645619	0.5264897	0.6374722	0.2242262	0.4538244	0.5422046	0.5096901	0.2963016	0.2899983	0.1404975	0.0815427	0.1972246	0.0130087	0.5849166

0	0.4732962	0.6510071	0.8967750	0.3778122	0.2593891	0.0301440	0.1160456	0.0378257	0.5430757	0.7502316	0.7914974	0.3018183	0.7241878	0.4174625	0.5601037	0.7260907	0.3954253	0.7699891	0.0032117	0.2866097	0.6153629	0.5582327	0.1641984	0.1174040	0.5359305	0.3867806	0.7231795	0.0266783	0.7760710	0.4956142	0.0245605	0.5791190	0.6887188	0.7302607	0.2291578	0.1529098	0.7440073	0.7440513	0.6524787	0.2348112	0.5220982	0.6890140	0.5532216	0.3783884	0.2415578	0.1461401	0.0639095	0.1260586	0.0071388	0.7770131
100	0.5078570	0.7267250	0.7121578	0.3378544	0.2512926	0.0129748	0.0299771	0.1487920	0.4814391	0.8759142	0.6950563	0.4041507	0.7193708	0.3861340	0.5265166	0.1894194	0.3663258	0.4205897	0.0012773	0.1943046	0.2710754	0.6300112	0.0419501	0.1509847	0.6954263	0.3329185	0.3894229	0.0102516	0.1788879	0.5164186	0.0436574	0.6311525	0.6714007	0.9394694	0.2394533	0.2830434	0.3692741	0.8061350	0.5206809	0.3195096	0.5877803	0.3547339	0.5945087	0.3438630	0.2746044	0.2446159	0.1343634	0.0373907	0.0487716	0.7612902
