YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.5269923	0.7520210	0.7375767	0.4361420	0.2493709	0.0340901	0.0983449	0.0344330	0.6077053	0.6641447	0.7263062	0.4466953	0.7647136	0.3907099	0.3416820	0.8121420	0.4060121	0.7823927	0.0210696	0.2999294	0.7105657	0.6398209	0.1617499	0.2239578	0.5879563	0.4359758	0.7161132	0.0299279	0.7115241	0.6254568	0.2416462	0.0723934	0.0000000	0.7110973	0.6427661	0.5306437	0.0000000	0.7262689	0.6314353	0.3209006	0.5924952	0.1667279	0.0553444	0.3483065	0.2742722	0.0996869	0.1022254	0.1072629	0.0515220	0.6931706
0.4313796	0.7618282	0.6818012	0.3683255	0.2563707	0.0256263	0.0760224	0.0240165	0.7422511	0.7614322	0.7288056	0.3059097	0.6050794	0.4554263	0.6107901	0.7976497	0.3606275	0.7094711	0.0018382	0.3138178	0.8153788	0.5811252	0.2444275	0.0008973	0.7318925	0.3878484	0.7234599	0.0153041	0.7773886	0.0000000	0.0122163	0.7813864	0.6233799	0.7653683	0.2399418	0.1778508	0.6950267	0.7401846	0.7086486	0.0000000	0.0310072	0.7310467	0.5412450	0.6949554	0.1324044	0.4161089	0.1018431	0.1271532	0.2574039	0.6383401
0.4226717	0.6826712	0.7585399	0.5925953	0.1696715	0.0245951	0.0645060	0.0434036	0.7261287	0.6450681	0.7243464	0.2889989	0.7361277	0.4218397	0.5311742	0.6612545	0.4187509	0.8552026	0.0060482	0.3913772	0.7872049	0.5833844	0.1420889	0.7465770	0.7008039	0.5182782	0.7184437	0.0193729	0.6672137	0.0000000	0.2730195	0.6342441	0.6566005	0.6901703	0.2131793	0.2051973	0.0000000	0.8226330	0.6917954	0.0389150	0.0636745	0.7311416	0.1267386	0.6689562	0.1311632	0.4362373	0.0679279	0.1513089	0.0170401	0.6696529
0.4642252	0.6527572	0.7920357	0.4871806	0.1669406	0.0345986	0.0641936	0.0315423	0.7436017	0.6707373	0.6968388	0.4419715	0.6584616	0.4172953	0.6506850	0.8709763	0.3420027	0.7852278	0.0031842	0.2208199	0.8639036	0.5625589	0.1232615	0.0011539	0.8012076	0.3895108	0.8363613	0.0627746	0.6287054	0.0000000	0.0363623	0.6352040	0.0000000	0.7506373	0.2231818	0.1560075	0.7608169	0.7955811	0.7687813	0.0151644	0.2936826	0.6841918	0.5657694	0.6581450	0.1711714	0.3619817	0.1301645	0.1297910	0.5523112	0.4949838
0.4462198	0.7102120	0.7503134	0.3958063	0.2768725	0.0368804	0.1019593	0.0441804	0.6968372	0.6918039	0.6885873	0.4104182	0.6257805	0.4689133	0.7035968	0.6646894	0.4306360	0.7467193	0.0018297	0.3110044	0.5554091	0.5337652	0.1539700	0.7109552	0.5902111	0.4008901	0.6306263	0.0179381	0.7670383	0.0000000	0.3327892	0.8009062	0.8590442	0.0000000	0.3178917	0.1452324	0.6939652	0.7713531	0.6222774	0.0257542	0.3992643	0.6934173	0.7207438	0.8246087	0.1296987	0.4195619	0.1220287	0.1434766	0.1959446	0.6107116
0.4715695	0.7417047	0.6279524	0.4060904	0.2817326	0.0254835	0.0877172	0.0251863	0.5551017	0.8548038	0.6984767	0.4726566	0.6934223	0.4914992	0.6842212	0.7916285	0.4224264	0.7280211	0.0018982	0.1935977	0.0023864	0.6227841	0.2245958	0.2857646	0.5613881	0.3895697	0.6581222	0.0115631	0.6513168	0.0000000	0.0350395	0.6557830	0.7348611	0.7297667	0.2082128	0.1230918	0.6464315	0.9328711	0.7386819	0.0395146	0.0363552	0.8954606	0.7123080	0.6798316	0.4114887	0.6377886	0.0561942	0.0067979	0.2999143	0.5954974
0.5079650	0.6902094	0.8007652	0.5697846	0.1931080	0.0383340	0.0419868	0.0434604	0.4780197	0.6595030	0.7227277	0.3772903	0.6818694	0.5165207	0.4071338	0.8549420	0.3918247	0.8281881	0.0008686	0.2664490	0.9053968	0.5145786	0.1587376	0.1523444	0.5918344	0.3260544	0.6355966	0.0230049	0.7989080	0.6628629	0.1633501	0.3293474	0.7242540	0.8572726	0.3301271	0.3903109	0.0000000	0.7414719	0.7499576	0.0000000	0.3328686	0.2453402	0.2047458	0.2505447	0.1419826	0.1540625	0.0722338	0.2060783	0.0081995	0.5624900
0.5428690	0.7843677	0.8368448	0.4308276	0.2672203	0.0535620	0.0592404	0.0358756	0.5189528	0.6745394	0.7562872	0.4175559	0.8783810	0.3997708	0.5956602	0.5852518	0.3257836	0.6879110	0.0027321	0.2312660	0.6689084	0.5954253	0.1844694	0.2923241	0.7000284	0.4436308	0.7612598	0.0256192	0.7298598	0.7615933	0.5879007	0.7651055	0.8320506	0.0000000	0.1752779	0.1403458	0.0000000	0.6984245	0.6557915	0.4054435	0.6620961	0.6101178	0.2737725	0.3416051	0.3501860	0.1224289	0.0984231	0.1549967	0.0050352	0.6167393
0.5147491	0.8318878	0.8544928	0.4734539	0.2787370	0.0265272	0.1155047	0.0246900	0.4948838	0.8092532	0.7494641	0.3879791	0.6615941	0.3721613	0.5548280	0.6956499	0.4114245	0.6025729	0.0143230	0.3226592	0.7171326	0.4474515	0.2339945	0.0059068	0.6068724	0.4376599	0.8127510	0.0322367	0.7693107	0.7083333	0.0203571	0.3799941	0.0000000	0.6393557	0.2419480	0.4289806	0.7751265	0.6237091	0.6990643	0.0000000	0.6272656	0.5443993	0.5559922	0.3202386	0.1232402	0.1119612	0.0876050	0.2135392	0.3664244	0.5945230
0.5358885	0.7203542	0.7092783	0.4127753	0.2127202	0.0384642	0.0621808	0.0266022	0.4796305	0.6999939	0.6657633	0.3600985	0.7171994	0.3919902	0.5889308	0.6272427	0.4350125	0.8948774	0.0054935	0.2524468	0.6958811	0.5223450	0.1844834	0.0509905	0.8068539	0.3908775	0.5887276	0.0350177	0.6114619	0.4751403	0.3954868	0.6326195	0.0000000	0.0000000	0.2049642	0.1640498	0.7500866	0.6336591	0.7288672	0.2516252	0.6121641	0.7380221	0.6983397	0.2965514	0.3384108	0.1511457	0.0729751	0.2042771	0.0210989	0.5722960
