YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.2208548	0.7069291	0.6287325	0.3817262	0.2729968	0.0536522	0.0778659	0.0477093	0.4364331	0.6902313	0.6825295	0.4040233	0.7060051	0.4065700	0.5540364	0.8113110	0.4414780	0.7659252	0.0027350	0.2285580	0.6699212	0.5670061	0.1302500	0.0992310	0.6766345	0.3661352	0.6415402	0.0291207	0.7712058	0.6139729	0.0297770	0.5919305	0.7306835	0.6058459	0.2320646	0.1671101	0.6742046	0.6444675	0.6945907	0.3432272	0.5063754	0.5544674	0.5046852	0.2036510	0.2267881	0.1287308	0.1209586	0.1540635	0.0113084	0.7027257
0.7629310	0.4853605	0.6800533	0.4551293	0.2488174	0.0275931	0.0716593	0.0438921	0.5852308	0.6160402	0.5866806	0.3733533	0.7925119	0.3550213	0.6953553	0.7180920	0.3841712	0.7969449	0.0096909	0.4035972	0.7822570	0.5601251	0.1520612	0.0398300	0.8054869	0.5656210	0.6313343	0.0579050	0.7852798	0.5880546	0.0472955	0.7264928	0.8169474	0.8948786	0.2511976	0.1156980	0.7261014	0.7202425	0.7459759	0.3685499	0.5358542	0.6721938	0.4769385	0.3092508	0.1569927	0.1608105	0.1655111	0.1241744	0.0072856	0.5899152
0.3325898	0.6993167	0.3386405	0.1459559	0.5998962	0.1284388	0.3604605	0.1348414	0.0788578	0.7585867	0.6137770	0.3467877	0.7350132	0.3474316	0.6258806	0.7779070	0.4395067	0.8206170	0.0056454	0.4562101	0.7230362	0.3374776	0.4712786	0.0851977	0.8801745	0.4410979	0.6611039	0.0244496	0.6345501	0.6267788	0.0512970	0.5485584	0.7474203	0.7958779	0.1827060	0.2027581	0.6293536	0.5727439	0.5831962	0.3703473	0.5351095	0.2884716	0.4662031	0.2940603	0.3109629	0.1052586	0.0677097	0.1560259	0.0036835	0.6604438
0.5479762	0.7903193	0.6890241	0.2482868	0.2048104	0.0399937	0.0866297	0.0727239	0.6292570	0.8126652	0.6633934	0.3455698	0.7159078	0.4450256	0.7900702	0.7737958	0.4667789	0.6451324	0.0044522	0.1883642	0.7242413	0.5189335	0.1870052	0.1115085	0.7145357	0.3826872	0.6642816	0.0258577	0.6145728	0.6532382	0.0414556	0.6402187	0.8075650	0.6619396	0.2873787	0.0796331	0.7140927	0.6498828	0.6460134	0.3427498	0.5435338	0.5372568	0.4768378	0.4143847	0.3025827	0.1694187	0.0914510	0.1708864	0.0082343	0.7898291
0.5487643	0.7601134	0.6749753	0.4388458	0.1372790	0.0508839	0.0488235	0.0142803	0.6221316	0.7583662	0.7506155	0.3665957	0.7830703	0.4143415	0.5792658	0.7299213	0.3958413	0.7019473	0.0080341	0.2794384	0.6349761	0.4885101	0.1630889	0.0877182	0.8636272	0.4222824	0.7289518	0.0235659	0.7366850	0.5472875	0.0210000	0.7266392	0.6926687	0.7996398	0.1599673	0.1580405	0.6890667	0.7393905	0.8052787	0.4951322	0.4969874	0.6503307	0.4892407	0.3968390	0.2799699	0.1181285	0.1011578	0.1862211	0.0077701	0.6328504
0.4772560	0.6865149	0.6517119	0.4855972	0.2131052	0.0152330	0.0326109	0.0335476	0.6262903	0.7922638	0.6173036	0.3218816	0.6498206	0.3855447	0.5692485	0.7084547	0.4032314	0.7016213	0.0039571	0.1960072	0.6179718	0.4700126	0.1417109	0.0744416	0.7164447	0.4542814	0.7012222	0.0408145	0.7144537	0.6702904	0.0217596	0.5820959	0.7092707	1.0095145	0.1856346	0.1721776	0.8529932	0.6549303	0.7983619	0.3981270	0.5623646	0.6278346	0.5108357	0.2758042	0.2427526	0.1655617	0.1530935	0.1050600	0.0032830	0.5824132
0.5797886	0.7415696	0.5924044	0.3671831	0.1976488	0.0336658	0.0478959	0.0098642	0.7937641	0.7056789	0.7673807	0.3596256	0.7999729	0.4487466	0.5576391	0.6579398	0.3576316	0.8941741	0.0079092	0.2364440	0.7801756	0.5654738	0.2044250	0.0738608	0.6958025	0.5289460	0.7642024	0.0468180	0.8384199	0.5814929	0.0310450	0.7024912	0.7530234	0.7102454	0.1966664	0.1852705	0.6132857	0.8098817	0.7849456	0.3368026	0.5353604	0.6042284	0.3918025	0.4535083	0.2644632	0.1138910	0.0856939	0.2187167	0.0036590	0.6163498
0.4708973	0.7431200	0.6289117	0.3205434	0.2881611	0.0389762	0.0708870	0.0106474	0.6568508	0.7107172	0.6833596	0.3782117	0.5872779	0.3812560	0.5305374	0.6512105	0.4031736	0.6236412	0.0177943	0.3135441	0.7675498	0.6245260	0.1793082	0.0635831	0.7042220	0.4771613	0.7093493	0.0532582	0.7287170	0.5303913	0.0685624	0.6614178	0.7112506	0.7483349	0.2297322	0.1697753	0.7536846	0.7170220	0.7277600	0.3963122	0.3897744	0.6654749	0.4669124	0.3607425	0.3215862	0.1817363	0.1059284	0.1629827	0.0066175	0.5776169
0.5333492	0.6481361	0.6743686	0.3945615	0.1763636	0.0305929	0.0589298	0.0354938	0.3474011	0.7766362	0.7561199	0.4087140	0.6086053	0.4931165	0.5529145	0.8824094	0.2630880	0.4791063	0.0077582	0.2513099	0.8049612	0.4876936	0.1742137	0.0923895	0.7590491	0.4394483	0.5417434	0.0331288	0.6923276	0.6604180	0.0314611	0.6496006	0.7424599	0.6515348	0.2426153	0.2507067	0.5834228	0.6677013	0.6738073	0.3700344	0.4027311	0.6109913	0.5196710	0.2677948	0.2771278	0.1306108	0.1441130	0.1599960	0.0076652	0.6324987
0.4879452	0.7034999	0.7929789	0.3934196	0.2402562	0.0209751	0.0453996	0.0267820	0.7451135	0.3334769	0.6500142	0.3422366	0.6536772	0.3729484	0.5293442	0.7252479	0.3788786	0.6200683	0.0167244	0.2583528	0.8021999	0.6249375	0.2048455	0.1383769	0.5868648	0.4540839	0.7547242	0.0531174	0.7418668	0.6662731	0.0172479	0.7795593	0.6800989	0.6728449	0.1838191	0.1496795	0.7060215	0.7742719	0.7828819	0.2578491	0.4465804	0.6675982	0.4748337	0.3328334	0.2762911	0.1056552	0.0956143	0.2149394	0.0237104	0.6545040
0.5264754	0.7877462	0.7556409	0.5941564	0.1585848	0.0200676	0.0482977	0.0513753	0.6343807	0.8131762	0.4392480	0.7676218	0.6526325	0.3928859	0.3811381	0.7064674	0.3752436	0.6724612	0.0024286	0.2784968	0.8100842	0.5940131	0.2521935	0.0794541	0.6307116	0.3227931	0.7124465	0.0380976	0.6716369	0.5026399	0.0286917	0.7230653	0.7117794	0.7559215	0.3202986	0.2065449	0.7453671	0.7174410	0.7886376	0.3459241	0.5333623	0.6452973	0.4574848	0.4030208	0.3477958	0.1224889	0.0911011	0.2639129	0.0057147	0.6208848
