YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.0000000	0.7602012	0.6403892	0.4171548	0.2676743	0.0317614	0.0757728	0.0447124	0.5768420	0.6699487	0.7873026	0.3798889	0.6804848	0.3617729	0.5468430	0.6597048	0.4439411	0.6550298	0.0031985	0.2692510	0.6540534	0.5600670	0.1276100	0.1418556	0.6887980	0.4642564	0.7987043	0.0136844	0.6519222	0.6095538	0.0275589	0.7215895	0.7778046	0.7878897	0.2497671	0.1189083	0.6149271	0.6726138	0.8233346	0.3222425	0.5713120	0.5997143	0.3250153	0.2594626	0.2414929	0.1786494	0.0933100	0.1588125	0.0040681	0.6583756
0.6601391	0.0000000	0.7187782	0.4547315	0.1970852	0.0323106	0.0797264	0.0278602	0.6441005	0.7292033	0.7031909	0.4747218	0.7522981	0.4261761	0.6048667	0.6391533	0.4412939	0.6927338	0.0080315	0.2874406	0.6962917	0.4817358	0.1831637	0.0432998	0.7805755	0.3468326	0.8088777	0.0143549	0.7871984	0.6634530	0.0219477	0.6427132	0.5849092	0.5979224	0.2008848	0.2078298	0.6063106	0.6019630	0.7132693	0.3916750	0.4322850	0.5991547	0.4507529	0.2753286	0.1652506	0.1527048	0.1387646	0.1380860	0.0019612	0.7741063
0.1821032	0.8239615	0.0000000	0.0598970	0.8701006	0.4483842	0.6740956	0.4311906	0.0330780	0.2767601	0.2908804	0.6168003	0.7464468	0.4595455	0.5569398	0.9209307	0.1710258	0.7452409	0.7221196	0.5455727	0.6611881	0.2254564	0.5156909	0.0644497	0.6401508	0.4868067	0.6684614	0.0173865	0.7749272	0.6816221	0.0721867	0.7438259	0.6383340	0.8136671	0.2201699	0.0781241	0.7589214	0.7182706	0.7149037	0.3879019	0.4609551	0.2267767	0.4748705	0.3654196	0.2578094	0.1500398	0.1214699	0.1717823	0.0096409	0.4623290
0.5398161	0.6437584	0.6765340	0.0000000	0.2014887	0.0142411	0.0945771	0.0312642	0.4594780	0.7010405	0.7184423	0.3513075	0.8503648	0.3654563	0.7298989	0.7648362	0.3499663	0.7133444	0.0020081	0.3053094	0.6273394	0.5369235	0.2122274	0.1682269	0.6063654	0.5122259	0.7059218	0.0170974	0.8036071	0.5828590	0.0192514	0.9201650	0.7734869	0.7921377	0.2404119	0.1054163	0.7955971	0.7518273	0.7079696	0.4140545	0.4617583	0.7042107	0.4053931	0.2652632	0.3168094	0.0897069	0.0880931	0.1449197	0.0072741	0.5987547
0.4413442	0.6929206	0.6754105	0.4430066	0.0000000	0.0346590	0.1207443	0.0303999	0.6159512	0.5786101	0.6969184	0.3892884	0.6874761	0.3931431	0.5734451	0.7627424	0.4937449	0.8069576	0.0050446	0.3117105	0.8070342	0.5960716	0.1793688	0.1831012	0.6284464	0.4139216	0.6755683	0.0399172	0.6902633	0.6300972	0.0273191	0.7246327	0.6533061	0.6707747	0.3338260	0.2195858	0.7891145	0.7040433	0.7619659	0.3822924	0.4349958	0.5408709	0.4716138	0.2687810	0.2869258	0.1363670	0.0829497	0.2100798	0.0035637	0.7236948
0.4887900	0.9144909	0.8184827	0.5285995	0.2389437	0.0000000	0.0658137	0.0213210	0.3759392	0.7871317	0.8152026	0.2711231	0.6004318	0.4867409	0.6833227	0.7009148	0.3663234	0.6881714	0.0046578	0.3289408	0.6421296	0.5468686	0.2341828	0.1036942	0.7574959	0.5104493	0.7193746	0.0308734	0.7696735	0.5099019	0.0194470	0.7023275	0.6849091	0.7245284	0.2861488	0.2494616	0.6880298	0.8155241	0.5777287	0.2713938	0.4079752	0.6731712	0.5049061	0.2733115	0.2856226	0.1018839	0.1779180	0.2356208	0.0022103	0.5773568
0.5156220	0.8185086	0.6880185	0.4256996	0.1965668	0.0259490	0.0000000	0.0263336	0.8688277	0.6561929	0.7042652	0.4756592	0.6149531	0.4904009	0.5378196	0.7882703	0.3651050	0.7728270	0.0036104	0.2549781	0.7370718	0.4874726	0.1328655	0.0784860	0.6757633	0.3784637	0.7093867	0.0225142	0.6734833	0.6236861	0.0430683	0.7340740	0.7174684	0.7397858	0.1807220	0.1790318	0.8031022	0.8672994	0.6677827	0.4728516	0.4961896	0.6237197	0.5372487	0.2682066	0.2477379	0.4310150	0.0565709	0.1809283	0.1601480	0.6414075
0.4704610	0.6527143	0.8372602	0.4293293	0.1396199	0.0322712	0.0895394	0.0000000	0.6346203	0.7004829	0.7037982	0.3541827	0.6483275	0.4941841	0.5432953	0.7406761	0.4179788	0.8455361	0.0071602	0.2565298	0.7828169	0.5432640	0.1782388	0.0482195	0.7850904	0.4795226	0.8712642	0.0660388	0.6816909	0.5550106	0.0357714	0.5999550	0.7112460	0.7965527	0.2273128	0.1181517	0.7259313	0.6717243	0.6721243	0.4048508	0.6239813	0.6883956	0.5584261	0.3177272	0.2469522	0.1062357	0.0909651	0.1926858	0.0032854	0.7188266
0.3965612	0.8157094	0.6658076	0.3526963	0.2530766	0.0415229	0.0634544	0.0277940	0.0000000	0.7945384	0.6873835	0.4722657	0.6789294	0.5043558	0.5176020	0.7331274	0.3793426	0.6809081	0.0034762	0.2520601	0.8576370	0.5271488	0.2050109	0.0843514	0.6174094	0.4958164	0.7817317	0.0287061	0.6900275	0.5147010	0.0159230	0.7065560	0.7131848	0.7495868	0.2443524	0.1831186	0.7657768	0.7584601	0.7540692	0.3364920	0.4940102	0.2078128	0.6413292	0.3195906	0.3013884	0.1257297	0.1125789	0.1357338	0.0075766	0.5476923
0.3924077	0.7549501	0.6035739	0.3787451	0.2511439	0.0264306	0.0583853	0.0622850	0.5429446	0.0000000	0.5402305	0.3880634	0.6448366	0.4114229	0.7230665	0.6842364	0.3143738	0.6750933	0.0057785	0.2440322	0.6367346	0.5561324	0.1657233	0.0682127	0.7331089	0.4528759	0.7064248	0.0832283	0.7132822	0.6183958	0.0365743	0.7707138	0.6924118	0.7716718	0.2258185	0.1118050	0.7774640	0.6228462	0.6609993	0.3846616	0.5077318	0.7130375	0.4993149	0.3475621	0.2612786	0.1503511	0.1156048	0.1665927	0.0073590	0.6716663
0.3343509	0.5726840	0.8050304	0.5054038	0.1797191	0.0234542	0.0697167	0.0261170	0.5860980	0.6835112	0.0000000	0.7481973	0.5497721	0.3835723	0.5180641	0.5447773	0.2976189	0.8256330	0.0102056	0.3223605	0.7323948	0.5249875	0.1445839	0.1126939	0.6942472	0.4328329	0.8031919	0.0274287	0.8130730	0.5428054	0.0284684	0.7287364	0.7822477	0.8364630	0.2507825	0.1435624	0.6148382	0.8210897	0.7545583	0.4399564	0.5275872	0.6127921	0.5014391	0.4241262	0.3094378	0.2531176	0.1320859	0.2350873	0.0134928	0.6416859
