YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.4317824	0.7150960	0.7313792	0.4582044	0.0714802	0.2547913	0.0321827	0.0086490	0.6782433	0.3674440	0.6224094	0.3280586	0.6860726	0.4463939	0.3960932	0.4539188	0.1004880	0.6991907	0.0010764	0.0033190	0.6817354	0.6826351	0.0710124	0.6925410	0.4493687	0.4859750	0.7283922	0.0031481	0.7506714	0.3343049	0.0328277	0.7348002	0.4740458	0.6706386	0.2024925	0.1318329	0.6847529	0.8775448	0.4556702	0.1933553	0.6736333	0.6143011	0.6198232	0.3446439	0.1115583	0.2366503	0.2733763	0.2547594	0.0111154	0.6609107
0.3105549	0.7467704	0.6539845	0.5198925	0.2690080	0.0032320	0.0474829	0.0661130	0.2262807	0.4961170	0.5673784	0.1350741	0.8008135	0.4278007	0.5023934	0.6001364	0.1366599	0.5655962	0.0054426	0.0516372	0.8079318	0.7426462	0.2068380	0.1866479	0.6436838	0.3732283	0.3405774	0.0413678	0.7593697	0.5928059	0.0205198	0.5646416	0.8175061	0.6050477	0.3259523	0.2591598	0.6499878	0.7350819	0.7478568	0.3684788	0.5319299	0.4539058	0.4973932	0.3581099	0.1963354	0.0495206	0.2587298	0.3516104	0.0010616	0.6002502
0.5033263	0.6826274	0.7091521	0.3853970	0.2737624	0.0039405	0.0526677	0.0013709	0.8570727	0.6921213	0.7478902	0.2274394	0.7030281	0.2837101	0.8054962	0.6843497	0.5866721	0.5467726	0.0024753	0.0934645	0.8656978	0.6412929	0.1256058	0.1980699	0.4344228	0.3048118	0.5774011	0.0156198	0.6853469	0.4409962	0.0282797	0.7164949	0.7780588	0.6734169	0.3082942	0.2104889	0.6696212	0.6893462	0.4641720	0.2469929	0.3806933	0.6151771	0.6782420	0.3326317	0.3881507	0.0811904	0.4571752	0.1845327	0.0044350	0.6729166
0.2469711	0.6324799	0.5091196	0.3130894	0.2111313	0.0356963	0.0600636	0.0074636	0.7305442	0.8354003	0.3797008	0.7942613	0.6190497	0.4277196	0.6856096	0.7017956	0.4847188	0.7831185	0.0060176	0.3819073	0.7328041	0.2226936	0.1008133	0.0009083	0.7580713	0.4180648	0.6770264	0.0516415	0.6718749	0.5946516	0.0104507	0.7373146	0.6193928	0.6795744	0.2099516	0.2942221	0.3431434	0.6887855	0.9062837	0.2890676	0.7161571	0.5286955	0.6945836	0.3236257	0.1788883	0.1295758	0.1001251	0.4896150	0.0981014	0.6941032
0.5179391	0.6417705	0.6786372	0.3836508	0.3423773	0.0847161	0.0652514	0.3997615	0.0390513	0.6630279	0.4663186	0.2553387	0.7117807	0.4511716	0.5538592	0.7323995	0.5043429	0.7210515	0.0092272	0.3999082	0.6551630	0.6456191	0.1952175	0.3981145	0.7085008	0.4685297	0.6976983	0.0022129	0.6317332	0.4045337	0.0110272	0.3548833	0.4989185	0.7998977	0.3154452	0.2017627	0.7719660	0.9286990	0.7522121	0.3153632	0.4100433	0.0300372	0.4131949	0.2296669	0.5213803	0.4859231	0.0612504	0.2326804	0.0052633	0.4680794
0.4020539	0.4515016	0.5286355	0.4518729	0.2568245	0.0019000	0.0659816	0.0005364	0.5989090	0.7916939	0.5276087	0.4508866	0.4463729	0.6301653	0.4865703	0.3935274	0.5536637	0.7474975	0.0025636	0.1446304	0.6691854	0.3362857	0.1529116	0.2297959	0.4590345	0.4724143	0.7436707	0.0619196	0.5797476	0.6843340	0.0415984	0.5633856	0.5118550	0.5456539	0.1985989	0.1608938	0.5621671	0.5081513	0.8342885	0.2718588	0.4016885	0.6410922	0.5152621	0.1857346	0.4001765	0.0067244	0.1433395	0.2298209	0.0348660	0.5518454
0.3336113	0.6626318	0.4573741	0.3354989	0.1353718	0.3513623	0.1295168	0.0229017	0.6985498	0.2542645	0.7303984	0.4263340	0.7484269	0.4403105	0.4163725	0.5603697	0.2444373	0.6165559	0.0169069	0.2508336	0.7832089	0.6367902	0.0677065	0.2632174	0.5752819	0.4918088	0.8327498	0.0204106	0.7924551	0.5309707	0.0222902	0.7995157	0.7015647	0.6606595	0.2484872	0.2206221	0.7615971	0.6846106	0.5176411	0.1828011	0.3672563	0.5831335	0.7568561	0.3374591	0.2312756	0.4991852	0.0367208	0.2747047	0.0147540	0.4534899
0.4447789	0.7993388	0.5737440	0.2609737	0.4335541	0.0025387	0.0786459	0.0482562	0.6513926	0.6939484	0.5393134	0.3376472	0.4305277	0.2376154	0.7517185	0.7185663	0.4701871	0.6121648	0.0003876	0.1422125	0.7448550	0.5352760	0.1638224	0.1239637	0.6442920	0.5538728	0.5709296	0.0005009	0.7022343	0.6181935	0.0275836	0.6371345	0.5885893	0.7965661	0.2020708	0.1330381	0.6368560	0.7384623	0.5999777	0.3288961	0.5613792	0.4992875	0.6008248	0.0048599	0.4740363	0.0141463	0.1175154	0.6722739	0.0618928	0.5727313
0.3234343	0.7462317	0.3944560	0.3098401	0.5194400	0.1326735	0.2221016	0.0450290	0.1630094	0.5944032	0.2679409	0.7919735	0.5702176	0.4142521	0.4023540	0.5891049	0.2655763	0.8542704	0.0155376	0.1306010	0.8892632	0.3224687	0.2836755	0.1808348	0.5453031	0.3970794	0.6740098	0.0001689	0.8192226	0.6900280	0.0032258	0.6399784	0.7478674	0.5871983	0.3113832	0.2647295	0.6241737	0.7728827	0.5622204	0.3895595	0.2401980	0.4728105	0.6062748	0.1098347	0.3034903	0.0055440	0.0828776	0.1964844	0.1158541	0.6156322
0.2948297	0.7262632	0.7027431	0.3062022	0.2747244	0.0011639	0.0375927	0.0057099	0.8712793	0.8621415	0.4623039	0.5519836	0.2932846	0.3459924	0.5318219	0.7690348	0.4957794	0.6436728	0.0074848	0.1461552	0.5872956	0.5106129	0.2343380	0.0013291	0.5700989	0.3872726	0.6304887	0.0222222	0.6532709	0.4922556	0.0259971	0.7763130	0.7560059	0.7089596	0.3025168	0.2915190	0.6544342	0.8224025	0.7357224	0.3649521	0.4760097	0.5748406	0.6484404	0.2737372	0.1017382	0.3141083	0.2750745	0.0735995	0.0814454	0.6155500
0.1851611	0.5892143	0.0894395	0.2307349	0.5982674	0.3326005	0.6084746	0.5607405	0.0344000	0.6673011	0.2811589	0.6283153	0.7616474	0.6878865	0.3058286	0.6900400	0.4682499	0.7288708	0.1107232	0.1936005	0.7842669	0.2345901	0.4070295	0.0583482	0.5698185	0.3935307	0.7096299	0.0432435	0.5007922	0.5060333	0.0124303	0.5667642	0.5023263	0.6987512	0.3417657	0.2494948	0.4948664	0.8005523	0.6689756	0.2674680	0.6116932	0.2402842	0.4501931	0.4496369	0.4277212	0.3847517	0.1898589	0.0505387	0.0032763	0.5425090
