Wang2004_011,Root_KCl_1,,,
Wang2004_012,Root_KCL_2,,,
Wang2004_021,Root_KNO3_1,,,
Wang2004_022,Root_KNO3_2,,,
Wang2004_031,Shoot_KCl_1,,,
Wang2004_032,Shoot_KCL_2,,,
Wang2004_041,Shoot_KNO3_1,,,
Wang2004_042,Shoot_KNO3_2,,,
TimeSeries_01,To.1,,,
TimeSeries_02,To.2,,,
TimeSeries_03,3m.KCl.1,,,
TimeSeries_04,3m.KCl.2,,,
TimeSeries_05,3m.KNO3.1,,,
TimeSeries_06,3m.KNO3.2,,,
TimeSeries_07,6m.KCl.1,,,
TimeSeries_08,6m.KCl.2,,,
TimeSeries_09,6m.KNO3.1,,,
TimeSeries_10,6m.KNO3.2,,,
TimeSeries_11,9m.KCl.1,,,
TimeSeries_12,9m.KCl.2,,,
TimeSeries_14,9m.KNO3.1,,,
TimeSeries_15,9m.KNO3.2,,,
TimeSeries_16,12m.KCl.1,,,
TimeSeries_17,12m.KCl.2,,,
TimeSeries_18,12m.KNO3.1,,,
TimeSeries_19,12m.KNO3.2,,,
TimeSeries_20,15m.KCl.1,,,
TimeSeries_21,15m.KCl.2,,,
TimeSeries_22,15m.KNO3.1,,,
TimeSeries_23,15m.KNO3.2,,,
TimeSeries_24,20m.KCl.1,,,
TimeSeries_25,20m.KCl.2,,,
TimeSeries_26,20m.KNO3.1,,,
TimeSeries_27,20m.KNO3.2,,,
MSX_01,20mM.KCl.2hr.1,,,
MSX_02,20mM.KCl.2hr.1,,,
MSX_03,20mM.KNO3+20mM.NH4NO3.2hr.1,,,
MSX_04,20mM.KNO3+20mM.NH4NO3.2hr.2,,,
MSX_05,20mM.KNO3+20mM.NH4NO3+1mM.MSX.2hr.1,,,
MSX_06,20mM.KNO3+20mM.NH4NO3+1mM.MSX.2hr.2,,,
MSX_07,20mM.KNO3+20mM.NH4NO3+1mM.MSX+10mM.Glu.2hr.1,,,
MSX_08,20mM.KNO3+20mM.NH4NO3+1mM.MSX+10mM.Glu.2hr.2,,,
CCA1_011,pNpD,Y,Y,
CCA1_012,pNpD,Y,Y,
CCA1_021,pNmD,N,Y,
CCA1_022,pNmD,N,Y,
CCA1_031,mNpD,Y,N,
CCA1_032,mNpD,Y,N,
CCA1_041,mNmD,N,N,
CCA1_042,mNmD,N,N,
CCA1_051,pNpD,Y,Y,
CCA1_052,pNpD,Y,Y,
CCA1_061,pNmD,N,Y,
CCA1_062,pNmD,N,Y,
CCA1_071,mNpD,Y,N,
CCA1_072,mNpD,Y,N,
CCA1_081,mNmD,N,N,
CCA1_082,mNmD,N,N,
CCA1_091,pNpD,Y,Y,
CCA1_092,pNpD,Y,Y,
CCA1_101,pNmD,N,Y,
CCA1_102,pNmD,N,Y,
CCA1_111,mNpD,Y,N,
CCA1_112,mNpD,Y,N,
CCA1_121,mNmD,N,N,
CCA1_122,mNmD,N,N,
bZIP1_011,pNpD,Y,Y,
bZIP1_012,pNpD,Y,Y,
bZIP1_021,pNmD,N,Y,
bZIP1_022,pNmD,N,Y,
bZIP1_031,mNpD,Y,N,
bZIP1_032,mNpD,Y,N,
bZIP1_041,mNmD,N,N,
bZIP1_042,mNmD,N,N,
bZIP1_051,pNpD,Y,Y,
bZIP1_052,pNpD,Y,Y,
bZIP1_061,pNmD,N,Y,
bZIP1_062,pNmD,N,Y,
bZIP1_071,mNpD,Y,N,
bZIP1_072,mNpD,Y,N,
bZIP1_081,mNmD,N,N,
bZIP1_082,mNmD,N,N,
bZIP1_091,pNpD,Y,Y,
bZIP1_092,pNpD,Y,Y,
bZIP1_101,pNmD,N,Y,
bZIP1_102,pNmD,N,Y,
bZIP1_111,mNpD,Y,N,
bZIP1_112,mNpD,Y,N,
bZIP1_121,mNmD,N,N,
bZIP1_122,mNmD,N,N,
GLK1_011,pNpD,Y,Y,
GLK1_021,pNmD,N,Y,
GLK1_031,mNpD,Y,N,
GLK1_041,mNmD,N,N,
GLK1_051,pNpD,Y,Y,
GLK1_061,pNmD,N,Y,
GLK1_071,mNpD,Y,N,
GLK1_081,mNmD,N,N,
GLK1_091,pNpD,Y,Y,
GLK1_101,pNmD,N,Y,
GLK1_111,mNpD,Y,N,
GLK1_121,mNmD,N,N,
HHO3_01,pNpD,Y,Y,
HHO3_02,pNmD,N,Y,
HHO3_03,mNpD,Y,N,
HHO3_04,mNmD,N,N,
HHO3_05,pNpD,Y,Y,
HHO3_06,pNmD,N,Y,
HHO3_07,mNpD,Y,N,
HHO3_08,mNmD,N,N,
HHO3_09,pNpD,Y,Y,
HHO3_10,pNmD,N,Y,
HHO3_11,mNpD,Y,N,
HHO3_12,mNmD,N,N,
HRS1_01,pNpD,Y,Y,
HRS1_02,pNmD,N,Y,
HRS1_03,mNpD,Y,N,
HRS1_04,mNmD,N,N,
HRS1_05,pNpD,Y,Y,
HRS1_06,pNmD,N,Y,
HRS1_07,mNpD,Y,N,
HRS1_08,mNmD,N,N,
HRS1_09,pNpD,Y,Y,
HRS1_10,pNmD,N,Y,
HRS1_11,mNpD,Y,N,
HRS1_12,mNmD,N,N,
