ENSP	VNG-ORF
YU61_HALN1	VNG5061C
YU61_HALN1	VNG5236C
O54648	OR VNG6079H
Q9HI31	OR VNG6098H
Q9HT04	VNG0001H
Q9HT03	VNG0002G
Q9HT02	VNG0003C
Q9HT01	VNG0005H
GLMS_HALN1	VNG0006G
Q9HSZ9	VNG0008G
Q9HSZ8	VNG0009G
Q9HSZ7	VNG0011C
Q9HSZ6	VNG0013C
Q9HSZ5	VNG0014C
Q9HSZ4	VNG0015H
Q9HSZ3	VNG0016H
Q9HSZ2	VNG0017H
Q9HSZ1	VNG0018H
Q9HSZ0	VNG0019H
Q9HSY9	VNG0020H
O54664	VNG0021H
Q9HSY8	VNG0022H
Q9HSY7	VNG0023H
Q9HSY6	VNG0024H
Q9HSY5	VNG0025H
Q9HSY4	VNG0026C
Q9HSY3	VNG0027H
Q9HSY2	VNG0028C
Q9HSY1	VNG0029H
Q9HSY0	VNG0030H
Q9HSX9	VNG0031H
Q9HSX8	VNG0032H
Q9HSX7	VNG0033H
Q9HSX6	VNG0034H
Q9HSX5	VNG0035H
Q9HSX4	VNG0037H
Q9HSX3	VNG0038H
Q9HSX2	VNG0039H
Q9HSX1	VNG0040C
Q9HSX0	VNG0041C
Q9HSW9	VNG0042G
Q9HSW8	VNG0043H
Q9HSW7	VNG0044H
CD61_HALN1	VNG0045C
Q9HSW5	VNG0046G
Q9HSW4	VNG0047G
Q9HSW3	VNG0049H
Q9HSW2	VNG0050C
Q9HSW1	VNG0051G
O51966	VNG0052H
Q9HSW0	VNG0053H
Q9HSV9	VNG0054H
Q9HSV8	VNG0055H
Q9HSV7	VNG0056H
Q9HSV6	VNG0057H
Q9HSV5	VNG0058H
O54648	VNG0059H
Q9HSV4	VNG0060G
Q9HSV3	VNG0061C
Q9HSV2	VNG0062G
Q9HSV1	VNG0063G
Q9HSV0	VNG0064G
Q9HSU9	VNG0065G
Y066_HALN1	VNG0066H
Q9HSU7	VNG0067H
Q9HSU6	VNG0068H
Q9HSU5	VNG0069H
Q9HSU4	VNG0070H
Q9HSU3	VNG0072H
Q9HSU2	VNG0073C
Q9HSU1	VNG0075H
Q9HSU0	VNG0076H
Q9HST9	VNG0077H
Q9HST8	VNG0079H
Q9HST7	VNG0080H
Q9HST6	VNG0081G
Q9HST5	VNG0084G
MOAA_HALN1	VNG0085G
Q9HST3	VNG0086G
Q9HST1	VNG0089G
Q9HST2	VNG0090G
Q9HST0	VNG0091C
Q9HSS9	VNG0094C
G3P_HALN1	VNG0095G
Q9HSS8	VNG0096C
Q9HSS6	VNG0097G
Q9HSS5	VNG0098G
RL10_HALN1	VNG0099G
Q9HSS3	VNG0101G
Q9HSS2	VNG0102C
Q9HSS1	VNG0104G
Q9HSS0	VNG0105H
Q9HSR9	VNG0106G
Q9HSR8	VNG0107G
Q9HSR7	VNG0108G
